id_sim,year,month,day,seed,Fertilizer Usage,Pesticide Usage,Water Usage,Salinity Exposure,Max Flood Continuous,Flood Stress,Drought Stress,Salinity Stress,Biodiversity,Resilient Varieties,Water Reliability,Emission Intensity,AWD Adoption,Methane Emissions,Labor Intensity,Profit Margin,Net Income,Production Cost,Straw Value,Avg Yield
128,2026,3,7,6.730945950873178E18,143.0,2.806149732620321,1034.4102869111734,0.023943698180228026,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.036712647920291386,0.0,285.99999999999994,254.89839572192514,41.76259231638357,710.6296555466303,990.7567477336646,101.87224871712068,7.790230784250389
137,2026,3,6,1.8995490211313254E17,143.0,4.641711229946524,997.3921423531112,0.009021278413395267,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.037170339161055714,0.0,283.39999999999634,283.26737967914437,39.263640147161404,654.0312558416715,1011.1286914974044,99.70315266541392,7.6243587332375355
129,2026,3,7,4.5883026077742356E18,143.0,4.648395721925134,939.8935694102378,0.04070304507709466,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.03724700070672328,0.0,285.99999999999994,284.37433155080214,41.374546763278424,694.055526678704,982.922453154326,100.41076943209856,7.678470603631059
123,2026,3,6,5.594090867782912E17,143.0,4.823529411764706,965.9793941414704,0.04769493344607857,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.038579661496531394,0.0,283.39999999999634,286.1764705882353,37.694300272906844,605.0181128571087,999.3132264825097,96.0609776302247,7.34583946584073
131,2026,3,3,9.102023961735639E17,143.0,5.517379679144385,973.0385204394141,0.00722249331614899,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.03855806161127115,0.0,275.6000000000036,294.27807486631013,34.867147065352285,544.558242048466,1016.491185353396,93.46942894418062,7.147662213378518
138,2026,3,6,4.983645792114481E18,143.0,4.616310160427807,1021.877944418432,0.0038634987253890517,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.03524268927437752,0.0,283.39999999999634,282.86096256684493,41.75000924624585,733.4102705333225,1022.8280096423712,105.15656087273452,8.04138406673853
127,2026,3,5,3.836345349235617E18,143.0,5.600267379679145,1038.070096279968,0.0649530907486427,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.035018573044819895,0.0,272.99999999999994,297.60427807486633,38.2236938794294,651.0357221514175,1051.5807700651158,101.94590154860965,7.795863059599551
126,2026,3,5,4.761185233657941E18,143.0,5.94385026737968,983.212189799485,0.027884583067290497,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.03641098860996591,0.0,283.39999999999634,303.1016042780749,39.301774413919695,668.3823392310753,1031.5044906216715,101.78246022646017,7.783364605552842
122,2026,3,5,6.35493686753437E18,143.0,5.438502673796791,941.6492253472915,0.03720710089260265,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.03673495231986077,0.0,280.7999999999969,295.01604278074865,40.0922237268528,669.5292849874313,999.9085698929026,99.95929674896293,7.643946221979502
124,2026,3,6,6.005986921513206E18,143.0,5.294117647058823,972.0610676400803,0.020310037334224682,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.036591406510427825,0.0,283.39999999999634,293.70588235294116,40.13167428419339,679.0807019103546,1012.4246514670933,101.28061076154057,7.744987881764888
