id_sim,year,month,day,seed,Gini Index,Top20/Bottom20 Ratio,Bankruptcy Risk,CV Profit
164,2027,11,17,2.3275888066568E18,0.024025255458693585,1.1272442898659902,0.0,0.03372311996006361
179,2027,11,17,9.054830946953192E18,0.01919294646874752,1.1014778146929296,0.0,0.026511540092577515
174,2027,11,17,8.619173836053503E18,0.025058836447316078,1.1342241243571871,0.0,0.035156932894255546
170,2027,11,17,2.2009420763865405E18,0.022985802769740576,1.1206088236998575,0.0,0.032631196245819734
161,2027,11,18,6.977615103056312E17,0.020730383646838643,1.1099698885093776,0.0,0.028842185314936323
160,2027,11,18,8.709926167270339E18,0.020482614577167827,1.108306610740354,0.0,0.028805814311347377
178,2027,11,18,2.857941005564493E18,0.023340050808071208,1.1244800099606163,0.0,0.032498531648091196
177,2027,11,18,6.522181452910449E18,0.02434403163084658,1.1293937647044998,0.0,0.03407200442149815
175,2027,11,18,8.305991534382669E18,0.023271844200677756,1.1239161377550828,0.0,0.03252020563826952
169,2027,11,18,7.388801749022034E17,0.0224026097051184,1.117319417930706,0.0,0.03134767737748783
165,2027,11,19,4.86643095885923E18,0.020911875495035485,1.1105495334315458,0.0,0.02931724491368239
163,2027,11,19,1.858714168763392E18,0.023190758155705017,1.1222711884497512,0.0,0.03279819407474636
173,2027,11,19,7.421366990471719E18,0.01889931787815546,1.099375943204739,0.0,0.02629191274952172
172,2027,11,19,6.261277189363532E18,0.022611654197782795,1.1198771000346723,0.0,0.031577786466160475
171,2027,11,19,4.2848121755587553E18,0.02041148443745307,1.1071848261463508,0.0,0.028560872406096522
168,2027,11,19,6.65317065901527E17,0.01947325190076154,1.1019410946526689,0.0,0.02731951064707178
167,2027,11,19,2.7812977706100634E18,0.023875814546996235,1.1281315248949335,0.0,0.03308810592619575
166,2027,11,19,3.967985631945377E18,0.022575013651746235,1.1178165861961498,0.0,0.03197863066945202
162,2027,11,20,4.90388125562359E18,0.022413166456066922,1.117557824507317,0.0,0.031766037194404954
176,2027,11,20,4.2692437014197545E18,0.023399617296290216,1.1241412439499345,0.0,0.032932596478264825
163,2028,11,16,1.858714168763392E18,0.022230331593271216,1.1177284772133678,0.0,0.031182579834808717
179,2028,11,16,9.054830946953192E18,0.021131373900320122,1.1117683470980197,0.0,0.029412653038953327
178,2028,11,16,2.857941005564493E18,0.02521096875144349,1.1343433724774095,0.0,0.03525026088028426
170,2028,11,16,2.2009420763865405E18,0.022259395525452357,1.1173725252675255,0.0,0.031375779774904085
165,2028,11,17,4.86643095885923E18,0.021706436660225936,1.1152141086321914,0.0,0.030337030934305478
161,2028,11,17,6.977615103056312E17,0.022029515901445907,1.1170212011167018,0.0,0.03084848798695579
160,2028,11,17,8.709926167270339E18,0.02455261036456317,1.1295960024855751,0.0,0.03488387268221059
177,2028,11,17,6.522181452910449E18,0.023632187085530904,1.1258616427730308,0.0,0.03296553002898358
176,2028,11,17,4.2692437014197545E18,0.022870418670695853,1.120806095930506,0.0,0.032069773990272846
171,2028,11,17,4.2848121755587553E18,0.022451480258693507,1.1184134520806768,0.0,0.031704708259890274
169,2028,11,17,7.388801749022034E17,0.025981328494999154,1.139451010054899,0.0,0.03636334005115644
168,2028,11,17,6.65317065901527E17,0.019566008284817898,1.1014036969732375,0.0,0.027878421353212484
167,2028,11,17,2.7812977706100634E18,0.019281075434598838,1.1003874043099338,0.0,0.027231022535829236
166,2028,11,17,3.967985631945377E18,0.020245666243423138,1.1063833951380666,0.0,0.028258353649758844
164,2028,11,18,2.3275888066568E18,0.02672645589865735,1.145004439751009,0.0,0.03706414442620981
162,2028,11,18,4.90388125562359E18,0.022217584464511195,1.1169896071205976,0.0,0.03146506756663244
