id_sim,year,month,day,seed,Gini Index,Top20/Bottom20 Ratio,Bankruptcy Risk,CV Profit
218,2027,11,17,2.857941005564493E18,0.020505820589298552,1.1077750162341453,0.0,0.02869495751340802
214,2027,11,17,8.619173836053503E18,0.027380072297750156,1.1469212551167791,0.0,0.03854712579834165
210,2027,11,17,2.2009420763865405E18,0.022457336783438264,1.1181413056884797,0.0,0.03158262568403113
204,2027,11,17,2.3275888066568E18,0.020738626399998284,1.1089808445942122,0.0,0.02893902944637744
201,2027,11,17,6.977615103056312E17,0.021513405865900035,1.1123914674001458,0.0,0.03052820932886969
200,2027,11,17,8.709926167270339E18,0.02098193624056784,1.109707488432491,0.0,0.02977321987824291
219,2027,11,18,9.054830946953192E18,0.01824805348520823,1.0961375420923227,0.0,0.025297932390962476
217,2027,11,18,6.522181452910449E18,0.020825923437745742,1.1088267625500183,0.0,0.029326611282120895
215,2027,11,18,8.305991534382669E18,0.019624939879873324,1.1035986497849284,0.0,0.027208708779456567
212,2027,11,18,6.261277189363532E18,0.01958586065703047,1.1028714323436597,0.0,0.027312629750942004
209,2027,11,18,7.388801749022034E17,0.019090206539829003,1.0995147671643084,0.0,0.026850785765719636
207,2027,11,18,2.7812977706100634E18,0.020619006940440825,1.1092273650252753,0.0,0.02845903355688576
206,2027,11,18,3.967985631945377E18,0.022660952026639123,1.1199671394721875,0.0,0.0315701411322171
205,2027,11,18,4.86643095885923E18,0.02332455455415959,1.1238621655329093,0.0,0.03246793901699312
213,2027,11,19,7.421366990471719E18,0.01853750962515651,1.0974132872087563,0.0,0.02583194609092253
211,2027,11,19,4.2848121755587553E18,0.018103240312364217,1.0953336242052936,0.0,0.025220802316518524
208,2027,11,19,6.65317065901527E17,0.021043071573602593,1.1105011559050524,0.0,0.029713806200576984
203,2027,11,19,1.858714168763392E18,0.023255059524948083,1.1228749722408087,0.0,0.032871209908844075
202,2027,11,19,4.90388125562359E18,0.018522302758427128,1.0972964636741824,0.0,0.025880629553265703
216,2027,11,20,4.2692437014197545E18,0.02298940397102464,1.1212773461366532,0.0,0.03250039789268665
219,2028,11,15,9.054830946953192E18,0.01837889311349312,1.0966160744427023,0.0,0.02565882562743115
210,2028,11,15,2.2009420763865405E18,0.023971729896474035,1.12734193952674,0.0,0.03374049236224027
203,2028,11,15,1.858714168763392E18,0.02113899194669773,1.1125355668496915,0.0,0.02939241046628772
200,2028,11,15,8.709926167270339E18,0.0182472504000023,1.0950671457420702,0.0,0.02566704828412613
218,2028,11,16,2.857941005564493E18,0.02115606421776283,1.1115274372512831,0.0,0.02971241893534586
217,2028,11,16,6.522181452910449E18,0.01876765222665133,1.0975849186419602,0.0,0.02649031377223457
216,2028,11,16,4.2692437014197545E18,0.0222139618674835,1.1172116304117332,0.0,0.03133524138016316
