id_sim,year,month,day,seed,CV Profit,Top20/Bottom20 Ratio,Bankruptcy Risk,Gini Index
45,2026,8,15,5.547295844673057E18,0.019416196584250398,1.0730870070307013,0.0,0.014071824919658098
41,2026,8,16,7.321516021041606E18,0.028333798614936647,1.106199380957861,0.0,0.020139218680335354
40,2026,8,16,5.640733279973713E18,0.021699082010386995,1.0792074653066146,0.0,0.015311357801841253
58,2026,8,16,4.983645792114481E18,0.020515284491872853,1.0783866341920958,0.0,0.014921214856496827
57,2026,8,17,1.8995490211313254E17,0.0233873445408962,1.0888994318591356,0.0,0.016763855689271856
56,2026,8,16,6.382099460904479E18,0.023323722012010568,1.0866269153448684,0.0,0.016599553732088945
59,2026,8,15,4.573612603220361E18,0.024541885929915574,1.0893266038527947,0.0,0.017335366532224904
46,2026,8,17,4.761185233657941E18,0.021372985958692584,1.0819665922738364,0.0,0.015608791056164369
52,2026,8,16,3.0200617878779566E18,0.022655570600509645,1.085228852272884,0.0,0.01631075757790797
50,2026,8,17,6.035458547893711E18,0.01689014159788888,1.062881503909014,0.0,0.012194490244732695
48,2026,8,16,6.730945950873178E18,0.01896939137957376,1.072355628793331,0.0,0.013785048290644343
51,2026,8,15,9.102023961735639E17,0.025048596411235857,1.0948259947836758,0.0,0.01802376892933666
49,2026,8,16,4.5883026077742356E18,0.023471162858469032,1.08801672249679,0.0,0.01686405310171597
53,2026,8,17,5.617863043828535E18,0.026945755357292597,1.0984941315874523,0.0,0.018955225934156186
44,2026,8,15,6.005986921513206E18,0.022687638241270836,1.085360201162207,0.0,0.01631545320067215
43,2026,8,17,5.594090867782912E17,0.022632525985476732,1.083931312101107,0.0,0.016197812405948232
54,2026,8,15,2.845830034239694E18,0.022708181909467228,1.0861837508742933,0.0,0.016405145780421636
55,2026,8,17,2.0171452079049892E18,0.020994253259417072,1.0790412302868728,0.0,0.015189844310194354
47,2026,8,17,3.836345349235617E18,0.026766055538137483,1.0992084754004183,0.0,0.019021743543862792
42,2026,8,17,6.35493686753437E18,0.02655816768368186,1.0985118480347655,0.0,0.01885293963748377
46,2027,8,16,4.761185233657941E18,0.027014608582674383,1.09793743160637,0.0,0.018946249621593508
45,2027,8,16,5.547295844673057E18,0.020789433931035876,1.080433725626658,0.0,0.015224614086033926
44,2027,8,15,6.005986921513206E18,0.022349030336774083,1.083559413875406,0.0,0.016048219883195908
43,2027,8,14,5.594090867782912E17,0.025416687440744715,1.0969588396856422,0.0,0.01827549020685116
57,2027,8,16,1.8995490211313254E17,0.021002126399727313,1.077569624272523,0.0,0.01495100365168654
41,2027,8,15,7.321516021041606E18,0.019768303639507375,1.074311897631099,0.0,0.014256119294453702
58,2027,8,16,4.983645792114481E18,0.025271898435271733,1.0938800168982232,0.0,0.017990164275066247
59,2027,8,17,4.573612603220361E18,0.023595061779738875,1.0898811067087602,0.0,0.017051022982490192
56,2027,8,16,6.382099460904479E18,0.020121299344058236,1.0778084896411826,0.0,0.014812072895529372
52,2027,8,15,3.0200617878779566E18,0.020337337051939405,1.077382719274368,0.0,0.014797735651969655
40,2027,8,17,5.640733279973713E18,0.020415704491206395,1.0769398504852177,0.0,0.014706880539403793
53,2027,8,15,5.617863043828535E18,0.022735222957810858,1.084005603120883,0.0,0.016141741535418405
50,2027,8,15,6.035458547893711E18,0.018134736177811167,1.0677600434185117,0.0,0.013034783965120875
48,2027,8,17,6.730945950873178E18,0.02293704145361526,1.085459294198717,0.0,0.01641265190802552
49,2027,8,16,4.5883026077742356E18,0.022914080956811682,1.0843426416441089,0.0,0.016266381327504888
51,2027,8,13,9.102023961735639E17,0.023463635847963685,1.0883251035661652,0.0,0.016895710313447564
54,2027,8,16,2.845830034239694E18,0.018968141966964596,1.0713330589508556,0.0,0.013749544502393516
55,2027,8,15,2.0171452079049892E18,0.02400790339134773,1.0890956612094052,0.0,0.017097016896762324
47,2027,8,16,3.836345349235617E18,0.022639833946863096,1.087387922081171,0.0,0.016507435820554087
42,2027,8,15,6.35493686753437E18,0.021127771794497693,1.080049865934867,0.0,0.015316013772614443
46,2028,8,13,4.761185233657941E18,0.025637066832887825,1.0948276254558524,0.0,0.01812822489719917
45,2028,8,14,5.547295844673057E18,0.022627469249712984,1.0848257643326724,0.0,0.016207964774085957
43,2028,8,13,5.594090867782912E17,0.020818079381758527,1.077783670392044,0.0,0.014937384312072633
44,2028,8,14,6.005986921513206E18,0.022623694285959124,1.08189173579087,0.0,0.01585794665098317
57,2028,8,12,1.8995490211313254E17,0.022028940036188212,1.0813844448056589,0.0,0.01567011487605956
59,2028,8,14,4.573612603220361E18,0.019590386377832107,1.0723666276277908,0.0,0.014007531710517891
41,2028,8,13,7.321516021041606E18,0.022993485157317837,1.0869077700160557,0.0,0.016516924404790894
58,2028,8,13,4.983645792114481E18,0.02219742951891898,1.0839124113450502,0.0,0.016063643766683785
52,2028,8,14,3.0200617878779566E18,0.025827109032606852,1.0949905505840059,0.0,0.018302963716226934
53,2028,8,14,5.617863043828535E18,0.023731393364640384,1.088506986375191,0.0,0.01693355252969765
40,2028,8,14,5.640733279973713E18,0.024040500808313683,1.0890940609839277,0.0,0.01713748265008743
56,2028,8,14,6.382099460904479E18,0.02054299538442057,1.076926277710394,0.0,0.01472690896285871
49,2028,8,14,4.5883026077742356E18,0.02553598857580741,1.0937670305047644,0.0,0.018114886107484445
