id_sim,year,month,day,seed,CV Profit,Top20/Bottom20 Ratio,Bankruptcy Risk,Gini Index
195,2026,11,19,2.0171452079049892E18,0.02050891551240522,1.0744229628712902,0.0,0.014482098187320488
199,2026,11,20,4.573612603220361E18,0.018999477997612445,1.070065153030697,0.0,0.013601426567278328
192,2026,11,18,3.0200617878779566E18,0.01622814144550458,1.0603356587317052,0.0,0.011731281123888462
193,2026,11,19,5.617863043828535E18,0.022031213958924385,1.0820667020857104,0.0,0.015757359644859286
191,2026,11,17,9.102023961735639E17,0.025340869501555195,1.0935641413291772,0.0,0.018041490692180646
187,2026,11,18,3.836345349235617E18,0.023353863177325997,1.0860370290565113,0.0,0.01654557125501329
197,2026,11,21,1.8995490211313254E17,0.020116457516134726,1.0759088991745316,0.0,0.014533622344736617
186,2026,11,19,4.761185233657941E18,0.01943092704975441,1.0710230290730813,0.0,0.013759199412229705
194,2026,11,20,2.845830034239694E18,0.017225529148584745,1.0630178292434536,0.0,0.012240790892259115
182,2026,11,18,6.35493686753437E18,0.014691484429481053,1.0555114124210614,0.0,0.010716980605724704
181,2026,11,19,7.321516021041606E18,0.0228649816271758,1.0813291605279827,0.0,0.015922596213874457
185,2026,11,19,5.547295844673057E18,0.019083368844813844,1.0680022171185801,0.0,0.01335202691636937
190,2026,11,19,6.035458547893711E18,0.020455208092959472,1.0762279221027335,0.0,0.014637511091007792
196,2026,11,20,6.382099460904479E18,0.02492655899534921,1.092899396743044,0.0,0.017799024332795364
184,2026,11,18,6.005986921513206E18,0.024855294671678907,1.0932580671783754,0.0,0.017697099700990884
188,2026,11,17,6.730945950873178E18,0.019347051659032548,1.069082912562411,0.0,0.013566261562417782
198,2026,11,19,4.983645792114481E18,0.020610753611400325,1.0761260917783362,0.0,0.014700538881868664
180,2026,11,19,5.640733279973713E18,0.02037740350710285,1.0755722226778943,0.0,0.014533154074074128
183,2026,11,19,5.594090867782912E17,0.020876532732392396,1.0787775758673381,0.0,0.01513717932836321
189,2026,11,18,4.5883026077742356E18,0.021236461607135146,1.0767226130467804,0.0,0.014963072758319285
195,2027,11,18,2.0171452079049892E18,0.022947365529290012,1.0818575925121943,0.0,0.016057724985012227
192,2027,11,17,3.0200617878779566E18,0.02532809511855199,1.0957008046387875,0.0,0.018182985101713622
191,2027,11,17,9.102023961735639E17,0.02252814747074789,1.0826459658748158,0.0,0.016024696499558826
199,2027,11,19,4.573612603220361E18,0.02661276655927284,1.0991819490651198,0.0,0.018997653790752463
193,2027,11,19,5.617863043828535E18,0.030158907461044104,1.1125082826731227,0.0,0.02142156230009694
187,2027,11,21,3.836345349235617E18,0.018111824205613494,1.0679391712234458,0.0,0.013066717329681413
197,2027,11,18,1.8995490211313254E17,0.021690213111931474,1.0824738546384942,0.0,0.015545210171822067
190,2027,11,18,6.035458547893711E18,0.02236258820957204,1.082467279830165,0.0,0.015929898312620434
181,2027,11,18,7.321516021041606E18,0.026425474349116886,1.1001557280465037,0.0,0.018977848562658165
186,2027,11,18,4.761185233657941E18,0.026136461020397607,1.0974076827759138,0.0,0.01861309714909964
194,2027,11,20,2.845830034239694E18,0.020447902732034826,1.077676844242971,0.0,0.014888958191604882
180,2027,11,18,5.640733279973713E18,0.032073539428787365,1.1192124265560044,0.0,0.022731064215299482
185,2027,11,18,5.547295844673057E18,0.023036314219096337,1.0868492597521509,0.0,0.01657513109980173
182,2027,11,19,6.35493686753437E18,0.020485153188799364,1.0752836712976757,0.0,0.014586040077997946
188,2027,11,20,6.730945950873178E18,0.021411713587207643,1.0783005670624197,0.0,0.015213877423550964
184,2027,11,19,6.005986921513206E18,0.027037975609574876,1.1051976491302962,0.0,0.01974030490372564
189,2027,11,18,4.5883026077742356E18,0.02494070432329915,1.09185706468405,0.0,0.01771894305935117
198,2027,11,18,4.983645792114481E18,0.021992406546661628,1.0821109459886364,0.0,0.015756845231702173
196,2027,11,19,6.382099460904479E18,0.018518815503702348,1.0683963635885934,0.0,0.013248978545221316
183,2027,11,19,5.594090867782912E17,0.02486527844602781,1.0913972847265239,0.0,0.017584368902070966
195,2028,11,18,2.0171452079049892E18,0.018459339607515085,1.0679347477687615,0.0,0.01316536501609689
191,2028,11,17,9.102023961735639E17,0.029343284422084885,1.1096160948264164,0.0,0.02090669131836572
192,2028,11,18,3.0200617878779566E18,0.01873137084346872,1.0675068064074729,0.0,0.013182931901568511
199,2028,11,16,4.573612603220361E18,0.029484689575208167,1.1145748272142686,0.0,0.02144456841456454
188,2028,11,18,6.730945950873178E18,0.022794777650104146,1.0862070468374092,0.0,0.016369368774767346
181,2028,11,16,7.321516021041606E18,0.028550788718127437,1.1078058105253454,0.0,0.02040901059729773
186,2028,11,16,4.761185233657941E18,0.02206697199984224,1.082491493063887,0.0,0.0158712023965684
198,2028,11,17,4.983645792114481E18,0.022828825568529863,1.0864894442409339,0.0,0.016487325970293308
187,2028,11,17,3.836345349235617E18,0.03317272659551375,1.1248261131962654,0.0,0.023544165422761908
189,2028,11,19,4.5883026077742356E18,0.02104415755022385,1.0772890728808582,0.0,0.014912672983591578
182,2028,11,18,6.35493686753437E18,0.020197752639176576,1.0730731787847572,0.0,0.014324483435458678
190,2028,11,17,6.035458547893711E18,0.02732598577395124,1.1030469523896544,0.0,0.019598957615482956
193,2028,11,17,5.617863043828535E18,0.022909357174052004,1.0857474795905864,0.0,0.016394201678506432
197,2028,11,17,1.8995490211313254E17,0.02278008739507021,1.0811829113001408,0.0,0.015896084080348
194,2028,11,17,2.845830034239694E18,0.024584602574424658,1.0922672911466962,0.0,0.017643676135802044
180,2028,11,17,5.640733279973713E18,0.02346095089618958,1.086805196659144,0.0,0.0167634325767128
185,2028,11,18,5.547295844673057E18,0.0236788184615408,1.0872109840895983,0.0,0.016861084983035027
184,2028,11,15,6.005986921513206E18,0.02717152894595987,1.1040050632630338,0.0,0.019650310074071663
196,2028,11,18,6.382099460904479E18,0.022834201930945385,1.083289623344462,0.0,0.01613340661228841
183,2028,11,17,5.594090867782912E17,0.024745646104102126,1.0921564322107742,0.0,0.017664610279195612
195,2029,11,18,2.0171452079049892E18,0.018576771737773244,1.0670762583130904,0.0,0.013139889842592794
