id_sim,year,month,day,seed,CV Profit,Top20/Bottom20 Ratio,Bankruptcy Risk,Gini Index
172,2026,11,18,3.0200617878779566E18,0.01622814144550458,1.0603356587317052,0.0,0.011731281123888462
169,2026,11,18,4.5883026077742356E18,0.021236461607135146,1.0767226130467804,0.0,0.014963072758319285
176,2026,11,20,6.382099460904479E18,0.02492655899534921,1.092899396743044,0.0,0.017799024332795364
179,2026,11,20,4.573612603220361E18,0.018999477997612445,1.070065153030697,0.0,0.013601426567278328
174,2026,11,20,2.845830034239694E18,0.017225529148584745,1.0630178292434536,0.0,0.012240790892259115
164,2026,11,18,6.005986921513206E18,0.024855294671678907,1.0932580671783754,0.0,0.017697099700990884
166,2026,11,19,4.761185233657941E18,0.01943092704975441,1.0710230290730813,0.0,0.013759199412229705
175,2026,11,19,2.0171452079049892E18,0.02050891551240522,1.0744229628712902,0.0,0.014482098187320488
160,2026,11,19,5.640733279973713E18,0.02037740350710285,1.0755722226778943,0.0,0.014533154074074128
173,2026,11,19,5.617863043828535E18,0.022031213958924385,1.0820667020857104,0.0,0.015757359644859286
178,2026,11,19,4.983645792114481E18,0.020610753611400325,1.0761260917783362,0.0,0.014700538881868664
168,2026,11,17,6.730945950873178E18,0.019347051659032548,1.069082912562411,0.0,0.013566261562417782
165,2026,11,19,5.547295844673057E18,0.019083368844813844,1.0680022171185801,0.0,0.01335202691636937
161,2026,11,19,7.321516021041606E18,0.0228649816271758,1.0813291605279827,0.0,0.015922596213874457
167,2026,11,18,3.836345349235617E18,0.023353863177325997,1.0860370290565113,0.0,0.01654557125501329
162,2026,11,18,6.35493686753437E18,0.014691484429481053,1.0555114124210614,0.0,0.010716980605724704
170,2026,11,19,6.035458547893711E18,0.020455208092959472,1.0762279221027335,0.0,0.014637511091007792
171,2026,11,17,9.102023961735639E17,0.025340869501555195,1.0935641413291772,0.0,0.018041490692180646
163,2026,11,19,5.594090867782912E17,0.020876532732392396,1.0787775758673381,0.0,0.01513717932836321
177,2026,11,21,1.8995490211313254E17,0.020116457516134726,1.0759088991745316,0.0,0.014533622344736617
161,2027,11,18,7.321516021041606E18,0.026095211949686,1.0988362235331353,0.0,0.018740665694357082
179,2027,11,19,4.573612603220361E18,0.023868550161690472,1.0884835543786315,0.0,0.0170386814707548
172,2027,11,17,3.0200617878779566E18,0.024224698259508574,1.0913373378443634,0.0,0.017390858865794317
165,2027,11,18,5.547295844673057E18,0.022376354376710983,1.0842493486662557,0.0,0.016100275582373726
162,2027,11,19,6.35493686753437E18,0.02081765675444407,1.0765554400556312,0.0,0.014822792534270664
176,2027,11,19,6.382099460904479E18,0.018496994059009148,1.0683128994693485,0.0,0.013233366755552147
169,2027,11,18,4.5883026077742356E18,0.02603579025274386,1.0960872188262578,0.0,0.018496938940197275
