id_sim,year,month,day,seed,CV Profit,Top20/Bottom20 Ratio,Bankruptcy Risk,Gini Index
7,2026,8,17,3.836345349235617E18,0.02630179064445369,1.0975222045653654,0.0,0.018669321520789782
8,2026,8,17,6.730945950873178E18,0.01980071234092378,1.0755212674147496,0.0,0.01432507029795076
2,2026,8,18,6.35493686753437E18,0.023090294176982405,1.0864752849459887,0.0,0.016565498219725937
4,2026,8,16,6.005986921513206E18,0.023906275458256243,1.0880574588243972,0.0,0.016980639249287176
11,2026,8,15,9.102023961735639E17,0.02505593475878241,1.0935116688042776,0.0,0.01790488711379714
13,2026,8,16,5.617863043828535E18,0.025108216740483066,1.091724479495388,0.0,0.01761570725444403
12,2026,8,17,3.0200617878779566E18,0.020467111978093703,1.0766285425110544,0.0,0.014770169324663953
14,2026,8,16,2.845830034239694E18,0.02141156008714108,1.0786216885871636,0.0,0.01517504482017038
3,2026,8,17,5.594090867782912E17,0.023427479734947635,1.0865316546259427,0.0,0.016690987880639826
6,2026,8,18,4.761185233657941E18,0.021046442398697286,1.080094415777541,0.0,0.015208598170486611
19,2026,8,16,4.573612603220361E18,0.022520278942166187,1.0830986157137676,0.0,0.016038026214561435
15,2026,8,16,2.0171452079049892E18,0.020317764488840637,1.0755281208607197,0.0,0.01462155001151115
18,2026,8,17,4.983645792114481E18,0.020197629135030242,1.0752447889000443,0.0,0.014488459870138685
9,2026,8,16,4.5883026077742356E18,0.022024944109078227,1.079363677100778,0.0,0.015465367216834778
17,2026,8,18,1.8995490211313254E17,0.023401169401553387,1.0884821089662702,0.0,0.016699530577658567
0,2026,8,18,5.640733279973713E18,0.019822061566979243,1.073231514909794,0.0,0.014186612866527502
5,2026,8,15,5.547295844673057E18,0.019160797664133023,1.0718837766088705,0.0,0.01390766184231279
1,2026,8,16,7.321516021041606E18,0.02709722619990572,1.1009441076984914,0.0,0.019258541723003758
16,2026,8,18,6.382099460904479E18,0.021869853941553215,1.080979695494642,0.0,0.01566519004624782
10,2026,8,18,6.035458547893711E18,0.01607793238285806,1.059878978951107,0.0,0.011625913075516766
7,2027,8,18,3.836345349235617E18,0.0226163848583822,1.0834515049581908,0.0,0.016005432003361946
8,2027,8,16,6.730945950873178E18,0.02400705364584209,1.0884808382538116,0.0,0.017041065410340075
4,2027,8,17,6.005986921513206E18,0.023387059496219435,1.087798084311846,0.0,0.016853019369612584
2,2027,8,17,6.35493686753437E18,0.02333765414861038,1.084348327567605,0.0,0.016397971754552987
