id_sim,year,month,day,seed,Gini Index,Top20/Bottom20 Ratio,Bankruptcy Risk,CV Profit
11,2016,12,2,6.135276294109196E18,0.11147781414283955,1.7886738264665958,0.0,0.1604056802528323
10,2016,12,2,4.4781543669790433E18,0.10816340188864795,1.742574101648079,0.0,0.15878457441956212
13,2016,12,2,4.2147871702788475E18,0.11354503781966442,1.807366657839412,0.0,0.1630618728333012
12,2016,12,2,5.40411094203403E18,0.10793710804382067,1.7442056511275585,0.0,0.154581074390922
7,2016,12,2,2.554489925832884E18,0.1133453606035506,1.7872266063781292,0.0,0.16627988126231535
6,2016,12,2,2.7981050286849106E18,0.1145801419069293,1.8068386698274679,0.0,0.16380614740005522
9,2016,12,2,6.459249684746143E18,0.11370523702082314,1.8032250397322644,0.0,0.1647430423240623
8,2016,12,2,4.435639311935185E18,0.11341237149288917,1.7883278507882225,0.0,0.16480903683098294
3,2016,12,2,6.693341266140658E18,0.11036795893931309,1.768905447898761,0.0,0.15873018921229062
2,2016,12,2,7.46093646699474E18,0.11101669712099525,1.7814116203828192,0.0,0.15977600129047023
5,2016,12,2,1.7084212252638392E18,0.11170348170584914,1.7949378884322948,0.0,0.1590190608576226
4,2016,12,2,5.987099624418999E18,0.11214813532071963,1.7957329211266395,0.0,0.16013921043212787
1,2016,12,2,9.021971460763051E18,0.10546947220687877,1.7275930865545983,0.0,0.15133172502403508
0,2016,12,2,8.871192147354378E18,0.10864593132067712,1.7513559377663317,0.0,0.15923572164594335
19,2016,12,2,5.95035737772788E18,0.11085787877085665,1.7688329344427833,0.0,0.1600711868430945
18,2016,12,2,8.696878139788066E18,0.11027621101374746,1.7676772982623585,0.0,0.15994720926918396
15,2016,12,2,3.059672168403036E17,0.11310064669966119,1.7828016803183422,0.0,0.16475912767628284
14,2016,12,2,5.395036053344414E18,0.10918597632574945,1.7540480772591358,0.0,0.1596983173960445
17,2016,12,2,2.8633218885848576E17,0.11192235373653178,1.7830618810403538,0.0,0.16110922210897968
16,2016,12,2,7.637678936563593E18,0.11003011563883001,1.7591182522243176,0.0,0.15828492739319674
11,2017,12,5,6.135276294109196E18,0.04438010391054064,1.2505797789634863,0.0,0.06216752092401276
10,2017,12,5,4.4781543669790433E18,0.04486567020311127,1.269224836706822,0.0,0.06086636906304593
13,2017,12,5,4.2147871702788475E18,0.04143159386088346,1.237767125379587,0.0,0.056619872937386934
12,2017,12,5,5.40411094203403E18,0.042141383456551315,1.2438686032578241,0.0,0.056781032469060994
7,2017,12,5,2.554489925832884E18,0.04679958187843432,1.2689853827799618,0.0,0.06579122055418349
6,2017,12,5,2.7981050286849106E18,0.04159566486945991,1.24746019186528,0.0,0.05719697754569784
9,2017,12,5,6.459249684746143E18,0.04007012518067569,1.2317370841331707,0.0,0.053311693805581276
8,2017,12,5,4.435639311935185E18,0.042663765925834526,1.2444313880686582,0.0,0.058837733403502
3,2017,12,5,6.693341266140658E18,0.041537636535016825,1.2384708988409892,0.0,0.05563826214417246
2,2017,12,5,7.46093646699474E18,0.04193145959422006,1.2401451716711642,0.0,0.05714494806427828
5,2017,12,5,1.7084212252638392E18,0.03947098569256734,1.2305888639038576,0.0,0.05104517795305404
4,2017,12,5,5.987099624418999E18,0.04341605052503014,1.2439802929951418,0.0,0.0611549996608369
1,2017,12,5,9.021971460763051E18,0.041305548049585306,1.2325339322906121,0.0,0.05691099358648226
0,2017,12,5,8.871192147354378E18,0.04325307508974529,1.2502011077530784,0.0,0.05907824157701279
19,2017,12,5,5.95035737772788E18,0.042392044150416586,1.2406708593230442,0.0,0.05774783966523609
18,2017,12,5,8.696878139788066E18,0.040211417180789924,1.2223629985462614,0.0,0.056251242747575377
15,2017,12,5,3.059672168403036E17,0.04027541037417275,1.23380995939396,0.0,0.053899735379851925
14,2017,12,5,5.395036053344414E18,0.04011413402504607,1.2286968900432127,0.0,0.05413189617408782
17,2017,12,5,2.8633218885848576E17,0.04562472045079654,1.265222417449249,0.0,0.062284302920902576
16,2017,12,5,7.637678936563593E18,0.03870741451944313,1.2204958067857463,0.0,0.052399618215984545
11,2018,12,8,6.135276294109196E18,0.041600891507973,1.2353202778653347,0.0,0.05781196705823193
10,2018,12,8,4.4781543669790433E18,0.0442512133745217,1.2512797085889722,0.0,0.06031510318465402
13,2018,12,8,4.2147871702788475E18,0.038197182351639554,1.2156462271244082,0.0,0.05267380426544035
12,2018,12,8,5.40411094203403E18,0.038749027754859215,1.2201060010923568,0.0,0.05253279580231113
7,2018,12,8,2.554489925832884E18,0.042240059237449105,1.2399701608751434,0.0,0.05731579013678763
6,2018,12,8,2.7981050286849106E18,0.04078950178188059,1.2281696498001795,0.0,0.05605653012780556
9,2018,12,8,6.459249684746143E18,0.04188801073429162,1.232897899490446,0.0,0.058245726291943405
8,2018,12,8,4.435639311935185E18,0.038915323591961905,1.2192144805219218,0.0,0.05343183594093809
3,2018,12,8,6.693341266140658E18,0.03960811139765886,1.225546779760981,0.0,0.053597998373979154
2,2018,12,8,7.46093646699474E18,0.04020666460952236,1.2242281047775811,0.0,0.054611590890624784
5,2018,12,8,1.7084212252638392E18,0.0425952654718637,1.2418861692403882,0.0,0.05796989256529352
4,2018,12,8,5.987099624418999E18,0.03760278495502121,1.2091019972729902,0.0,0.05179153182073335
1,2018,12,8,9.021971460763051E18,0.0390625022211009,1.2228150972118952,0.0,0.05280627491637205
0,2018,12,8,8.871192147354378E18,0.04063331272085296,1.2333442599999926,0.0,0.05426524410653056
19,2018,12,8,5.95035737772788E18,0.04348612917085877,1.2481664019687715,0.0,0.058918555812667535
18,2018,12,8,8.696878139788066E18,0.04098148828853255,1.2365951837277358,0.0,0.05585257900665352
15,2018,12,8,3.059672168403036E17,0.04167535481853681,1.2343070600640926,0.0,0.05798621489833012
14,2018,12,8,5.395036053344414E18,0.04252524542642334,1.2424357580592726,0.0,0.05793183733789926
17,2018,12,8,2.8633218885848576E17,0.0379226841815621,1.2173785042518865,0.0,0.052072240981109984
16,2018,12,8,7.637678936563593E18,0.039181560552525176,1.217706844130563,0.0,0.05411668127460356
11,2019,12,7,6.135276294109196E18,0.048136175154161874,1.2793284107414538,0.0,0.06594312624353157
10,2019,12,7,4.4781543669790433E18,0.04413256586093765,1.2508781137453475,0.0,0.06042170461696856
13,2019,12,7,4.2147871702788475E18,0.044748461885407265,1.250856386886209,0.0,0.06234665867262158
12,2019,12,7,5.40411094203403E18,0.044112055276668775,1.2484570929740337,0.0,0.06095126052961912
7,2019,12,7,2.554489925832884E18,0.04011883077137313,1.2283464744217834,0.0,0.05395831315058586
6,2019,12,7,2.7981050286849106E18,0.0423439915268644,1.2419028456068786,0.0,0.05763722799247853
9,2019,12,7,6.459249684746143E18,0.04505057170577983,1.2643441726221463,0.0,0.060812082350243206
8,2019,12,7,4.435639311935185E18,0.043595331365483936,1.2404293642629438,0.0,0.061196437217395185
3,2019,12,7,6.693341266140658E18,0.04107592861456876,1.2356039859733876,0.0,0.05519292115386482
2,2019,12,7,7.46093646699474E18,0.04280346851448838,1.244013188847052,0.0,0.05906316796138466
5,2019,12,7,1.7084212252638392E18,0.04325393946270294,1.2484952498638857,0.0,0.05918813913977614
4,2019,12,7,5.987099624418999E18,0.040909404537509894,1.2387122826823402,0.0,0.05399689223490504
1,2019,12,7,9.021971460763051E18,0.04308767067583693,1.248123845724131,0.0,0.058561004188477636
0,2019,12,7,8.871192147354378E18,0.04496412036693584,1.256962923421103,0.0,0.06177389785092783
19,2019,12,7,5.95035737772788E18,0.04930143537177991,1.2812686513499378,0.0,0.06807854788930087
18,2019,12,7,8.696878139788066E18,0.04392337687055903,1.2499782161171715,0.0,0.06063341711913084
15,2019,12,7,3.059672168403036E17,0.04717254224047388,1.275782670215737,0.0,0.06515943317548052
14,2019,12,7,5.395036053344414E18,0.04468939295927304,1.2571519357859273,0.0,0.060839626711168326
17,2019,12,7,2.8633218885848576E17,0.04179938422500952,1.236755158582593,0.0,0.05707974488143146
16,2019,12,7,7.637678936563593E18,0.0451011123423563,1.2649073083403701,0.0,0.06018130453830668
11,2020,12,1,6.135276294109196E18,0.1552761920604865,2.198328212314777,0.0,0.2245355881283337
10,2020,12,1,4.4781543669790433E18,0.15209809614580153,2.1746089100669357,0.0,0.22107604937868983
13,2020,12,1,4.2147871702788475E18,0.15442920519227682,2.1894989204416677,0.0,0.22496580497038332
12,2020,12,1,5.40411094203403E18,0.15572750665083346,2.198355370408686,0.0,0.22604266072222215
7,2020,12,1,2.554489925832884E18,0.15937501215749905,2.273662565450517,0.0,0.22948939815828973
6,2020,12,1,2.7981050286849106E18,0.15325194378332702,2.1753816353741557,0.0,0.22662595872579935
9,2020,12,1,6.459249684746143E18,0.1521356997367789,2.169510205051723,0.0,0.22798329520203384
8,2020,12,1,4.435639311935185E18,0.15474677907830228,2.2133507113586837,0.0,0.2227622515097921
3,2020,12,1,6.693341266140658E18,0.153736285944289,2.190638100697516,0.0,0.2254552204124612
2,2020,12,1,7.46093646699474E18,0.14804780984582447,2.120302592622146,0.0,0.21903150602091306
5,2020,12,1,1.7084212252638392E18,0.15626107079839568,2.213957577601129,0.0,0.23049187977080862
4,2020,12,1,5.987099624418999E18,0.15690040624669113,2.224843083153551,0.0,0.22729388012151508
1,2020,12,1,9.021971460763051E18,0.15520279989356495,2.208807666284696,0.0,0.22381507652533944
0,2020,12,1,8.871192147354378E18,0.15070830374091862,2.1542193880608873,0.0,0.22359827342341462
19,2020,12,1,5.95035737772788E18,0.1554359652922044,2.20451903408265,0.0,0.2273207329535116
18,2020,12,1,8.696878139788066E18,0.15582865843485194,2.1934681384228467,0.0,0.23045322885410774
15,2020,12,1,3.059672168403036E17,0.15623420137771143,2.221512082401696,0.0,0.2244604611645833
14,2020,12,1,5.395036053344414E18,0.15656996568756862,2.2158022461647353,0.0,0.2308703736551658
17,2020,12,1,2.8633218885848576E17,0.16019233178663703,2.276749795518162,0.0,0.2336047025685971
16,2020,12,1,7.637678936563593E18,0.15630730420031638,2.2006080496451554,0.0,0.22636378717077182
11,2021,12,12,6.135276294109196E18,0.04610455278090035,1.2635696044630094,0.0,0.06368112513496434
10,2021,12,12,4.4781543669790433E18,0.04225646766200813,1.2390269749319707,0.0,0.057497886750936755
13,2021,12,12,4.2147871702788475E18,0.04340627703589163,1.2485601191636062,0.0,0.059057261599339106
12,2021,12,12,5.40411094203403E18,0.04543048811499371,1.2640365284173913,0.0,0.062379820068439076
7,2021,12,12,2.554489925832884E18,0.0393645407463517,1.2206715310831833,0.0,0.05482028934738983
6,2021,12,12,2.7981050286849106E18,0.04228179536827071,1.2423967916257308,0.0,0.05819855270014467
9,2021,12,12,6.459249684746143E18,0.0428036621822955,1.2459609357135866,0.0,0.05753769395448988
8,2021,12,12,4.435639311935185E18,0.04522568076478717,1.2553799923803366,0.0,0.06353003683951186
3,2021,12,12,6.693341266140658E18,0.04571840174691006,1.2611925894199083,0.0,0.06246536474095186
2,2021,12,12,7.46093646699474E18,0.042068068994032023,1.2418224143972247,0.0,0.05733477472770426
5,2021,12,12,1.7084212252638392E18,0.04135855424009659,1.2344050686812096,0.0,0.056574569890843376
4,2021,12,12,5.987099624418999E18,0.04547488434196572,1.2655046146604343,0.0,0.06265040355029544
1,2021,12,12,9.021971460763051E18,0.04156839990907987,1.2319747723708576,0.0,0.05779278376184789
0,2021,12,12,8.871192147354378E18,0.041489738827994095,1.2383467380148843,0.0,0.05640097348043401
19,2021,12,12,5.95035737772788E18,0.04311952739549059,1.2525475851143695,0.0,0.05780358260003753
18,2021,12,12,8.696878139788066E18,0.04412133458472352,1.2480149979138644,0.0,0.061617216749086656
15,2021,12,12,3.059672168403036E17,0.04214522899616287,1.2419267124179947,0.0,0.05709068981126351
14,2021,12,12,5.395036053344414E18,0.04717215416901478,1.2664680044478487,0.0,0.06587002673570484
17,2021,12,12,2.8633218885848576E17,0.04060685248266804,1.2302316601338896,0.0,0.054868783387885436
16,2021,12,12,7.637678936563593E18,0.043889672227848966,1.2504979344293496,0.0,0.059894381570348335
11,2022,12,15,6.135276294109196E18,0.04409692499555309,1.2527381177782029,0.0,0.05988358155037605
10,2022,12,15,4.4781543669790433E18,0.0432956628473736,1.2431766896007683,0.0,0.06041303620050669
13,2022,12,15,4.2147871702788475E18,0.04252391794217681,1.2389807837881213,0.0,0.05752005177965405
12,2022,12,15,5.40411094203403E18,0.04462503300644607,1.2598585995720544,0.0,0.06027082933401193
7,2022,12,15,2.554489925832884E18,0.041911928187159456,1.2377880431119757,0.0,0.058353381962606476
6,2022,12,15,2.7981050286849106E18,0.043241706877845634,1.2407545106642701,0.0,0.060056713546186406
9,2022,12,15,6.459249684746143E18,0.0428794712703214,1.2474192490894553,0.0,0.057956226112637954
8,2022,12,15,4.435639311935185E18,0.043238161966390146,1.2492624662746017,0.0,0.059488925183686536
3,2022,12,15,6.693341266140658E18,0.042119513844593955,1.239327502244788,0.0,0.05788773138418862
2,2022,12,15,7.46093646699474E18,0.04362429637636236,1.2485577879422618,0.0,0.060805620676495
5,2022,12,15,1.7084212252638392E18,0.04127456532613822,1.23575881356396,0.0,0.056096908163214505
4,2022,12,15,5.987099624418999E18,0.04300230196558243,1.243035421581452,0.0,0.05915053027872294
1,2022,12,15,9.021971460763051E18,0.043092115928406304,1.2417274343367577,0.0,0.05944004444036987
0,2022,12,15,8.871192147354378E18,0.04122182399582461,1.2349047518383043,0.0,0.056583053527597155
19,2022,12,15,5.95035737772788E18,0.04106043543429758,1.2334196071086523,0.0,0.05539999338802798
18,2022,12,15,8.696878139788066E18,0.04317867656985913,1.2472414152600173,0.0,0.05836871445405666
15,2022,12,15,3.059672168403036E17,0.041316218503428065,1.2392204057004683,0.0,0.054863881911426736
14,2022,12,15,5.395036053344414E18,0.04580896887765987,1.2577530021047845,0.0,0.06377734614395376
17,2022,12,15,2.8633218885848576E17,0.0417362604080917,1.2391432446789983,0.0,0.05700632286176898
16,2022,12,15,7.637678936563593E18,0.0411956967849435,1.2385177464631631,0.0,0.05482638440590837
