id sim,seed,year,month,day,gini index,Bankruptcy risk(%),Top 20 vs bottom 20 income ratio,Coefficient of variation
0,4.908955068158961E18,2027,10,27,0.0983247309375569,0.0,1.6712261680014993,0.1441351758298517
0,4.908955068158961E18,2028,10,26,0.10036629245968856,0.0,1.6886872405998667,0.14704359636645573
0,4.908955068158961E18,2029,10,27,0.0988670260511942,0.0,1.6674466072029068,0.14507195541417525
0,4.908955068158961E18,2030,10,27,0.10083739945020476,0.0,1.6928008365740728,0.14765870264736544
0,4.908955068158961E18,2031,10,27,0.10102962164513336,0.0,1.6881396797597965,0.1477070776671925
0,4.908955068158961E18,2032,10,26,0.09693055240168391,0.0,1.6564349131881604,0.14241673849358083
0,4.908955068158961E18,2033,10,27,0.09976006138480127,0.0,1.6822875328417555,0.14608592082138858
0,4.908955068158961E18,2034,10,27,0.10115140910003086,0.0,1.689269081409383,0.14781838554902377
0,4.908955068158961E18,2035,10,27,0.10246026624634862,0.0,1.7068067151589803,0.1502918597794048
0,4.908955068158961E18,2036,10,26,0.0998578099194746,0.0,1.6831494228505381,0.14607505911727903
0,4.908955068158961E18,2037,10,27,0.10257185537823653,0.0,1.7052263347024588,0.150647898204051
0,4.908955068158961E18,2038,10,27,0.09966059727604362,0.0,1.685766048133907,0.14564303505931323
0,4.908955068158961E18,2039,10,27,0.10020145462825811,0.0,1.6802926068011201,0.1465308815253329
0,4.908955068158961E18,2040,10,26,0.10102041141043877,0.0,1.694124199487534,0.1472507475252732
0,4.908955068158961E18,2041,10,27,0.10227359759792225,0.0,1.7074273588231141,0.15001961199350008
0,4.908955068158961E18,2042,10,27,0.10017469360582605,0.0,1.6855696461552518,0.1467065498822838
0,4.908955068158961E18,2043,10,27,0.09935078863528324,0.0,1.6829458468714737,0.14468813248935697
0,4.908955068158961E18,2044,10,26,0.09963305013434258,0.0,1.6747625085470204,0.1461270647884979
0,4.908955068158961E18,2045,10,27,0.0987766825471051,0.0,1.6664089770662507,0.1461913575079492
0,4.908955068158961E18,2046,10,27,0.09673399861532563,0.0,1.6561766911241476,0.14127815786494588
0,4.908955068158961E18,2047,10,27,0.09837966900335558,0.0,1.6705042731310666,0.1437336637466499
0,4.908955068158961E18,2048,10,26,0.09941479221902577,0.0,1.6812814275414814,0.14520964523983548
0,4.908955068158961E18,2049,10,27,0.09925749476029333,0.0,1.678690620985325,0.1452613767087943
