id sim,seed,year,month,day,gini index,Bankruptcy risk(%),Top 20 vs bottom 20 income ratio,Coefficient of variation
4,4.908955068158961E18,2027,10,27,0.06817442800194608,0.0,1.4287548510059969,0.1018740955731984
4,4.908955068158961E18,2028,10,26,0.0656459576491617,0.0,1.4105052554757638,0.09724068797134774
4,4.908955068158961E18,2029,10,27,0.06563786984070515,0.0,1.4077885963568901,0.09758131550610437
4,4.908955068158961E18,2030,10,27,0.06529938233101734,0.0,1.4050322924495522,0.09671491080787828
4,4.908955068158961E18,2031,10,27,0.06651443775971395,0.0,1.4114595506626149,0.09938023416190493
4,4.908955068158961E18,2032,10,26,0.06326006252748283,0.0,1.3893130036872154,0.09432444194248989
4,4.908955068158961E18,2033,10,27,0.06675337499489545,0.0,1.4200132138176011,0.09944581361808534
4,4.908955068158961E18,2034,10,27,0.06570710431417791,0.0,1.4114274153666164,0.09783686623588185
4,4.908955068158961E18,2035,10,27,0.06531910867222604,0.0,1.4065320245087967,0.09684148983369784
4,4.908955068158961E18,2036,10,26,0.06489783196398992,0.0,1.4014255093004488,0.09737932438027921
4,4.908955068158961E18,2037,10,27,0.06635440737856452,0.0,1.4132807767664837,0.09903168151156592
4,4.908955068158961E18,2038,10,27,0.06596256108289789,0.0,1.410837914995307,0.09873126148803145
4,4.908955068158961E18,2039,10,27,0.06511275958549094,0.0,1.404136225785541,0.09721885579539896
4,4.908955068158961E18,2040,10,26,0.06580077907317626,0.0,1.4103386414790362,0.0985443798687265
4,4.908955068158961E18,2041,10,27,0.060756156217438434,0.0,1.368672172941201,0.09099218001682849
4,4.908955068158961E18,2042,10,27,0.06541795420233915,0.0,1.4037904954342635,0.09766597019373457
4,4.908955068158961E18,2043,10,27,0.06632906610840232,0.0,1.4125434711896354,0.09867442660174143
4,4.908955068158961E18,2044,10,26,0.06428043803469201,0.0,1.3949849859746672,0.09677625812066246
4,4.908955068158961E18,2045,10,27,0.06459566787152798,0.0,1.401826406547441,0.09565239441934445
4,4.908955068158961E18,2046,10,27,0.06631459993374957,0.0,1.4121332981931027,0.09902606127547392
4,4.908955068158961E18,2047,10,27,0.06501681608715583,0.0,1.404588713979879,0.09682436436772493
4,4.908955068158961E18,2048,10,26,0.06360120659044216,0.0,1.3930501561842057,0.09435675160911629
4,4.908955068158961E18,2049,10,27,0.06488622613124156,0.0,1.403418906009283,0.09670046092406913
