id sim,seed,year,month,day,gini index,Bankruptcy risk(%),Top 20 vs bottom 20 income ratio,Coefficient of variation
5,4.908955068158961E18,2027,10,27,0.06724614285252237,0.0,1.424059475112914,0.10005578472119128
5,4.908955068158961E18,2028,10,26,0.06530555380075699,0.0,1.4035319029723612,0.09712986449550441
5,4.908955068158961E18,2029,10,27,0.06323657915771644,0.0,1.3898724879726667,0.09444483619510068
5,4.908955068158961E18,2030,10,27,0.06514487050333917,0.0,1.4054392071573485,0.09714755301047763
5,4.908955068158961E18,2031,10,27,0.06114664800336514,0.0,1.374456317289442,0.09109502659096703
5,4.908955068158961E18,2032,10,26,0.062436303316158195,0.0,1.3851382484005812,0.09321750071895094
5,4.908955068158961E18,2033,10,27,0.06264928726434692,0.0,1.3891392593174516,0.09260041448401622
5,4.908955068158961E18,2034,10,27,0.06305386547960522,0.0,1.3914706533084147,0.09369386873082654
5,4.908955068158961E18,2035,10,27,0.06382703347823043,0.0,1.3966150930334174,0.09494703035308165
5,4.908955068158961E18,2036,10,26,0.06400137308510766,0.0,1.3949876704747324,0.09448787021793331
5,4.908955068158961E18,2037,10,27,0.0640616459210149,0.0,1.400212262761268,0.09501043415610089
5,4.908955068158961E18,2038,10,27,0.06435554927026559,0.0,1.397077310873801,0.09702577361587485
5,4.908955068158961E18,2039,10,27,0.06279832267443405,0.0,1.3861281983866973,0.09311298869119068
5,4.908955068158961E18,2040,10,26,0.059284018538098636,0.0,1.3621182043403648,0.08799787395271132
5,4.908955068158961E18,2041,10,27,0.06394883926525358,0.0,1.392910627605541,0.0957148470740157
5,4.908955068158961E18,2042,10,27,0.06330292355351443,0.0,1.393807102406272,0.0942561180373922
5,4.908955068158961E18,2043,10,27,0.06193212570297975,0.0,1.3775498954428738,0.09244754872607783
5,4.908955068158961E18,2044,10,26,0.058635248106989994,0.0,1.356481662444233,0.08660741526736095
5,4.908955068158961E18,2045,10,27,0.06058107162953395,0.0,1.3690233425281,0.09062631881582582
5,4.908955068158961E18,2046,10,27,0.0613212833953072,0.0,1.374994454808238,0.09083317858553448
5,4.908955068158961E18,2047,10,27,0.06172017382280743,0.0,1.3755564340447972,0.09217420066906194
5,4.908955068158961E18,2048,10,26,0.06865688462840612,0.0,1.431764143692682,0.10210617241866209
5,4.908955068158961E18,2049,10,27,0.06256053662853558,0.0,1.3802981403708177,0.09351789997995004
