id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,error_yield,error_pesticide,fitness
37,8.55411063835043E18,0.69,0.5,0.09,0.097,26.0,1.9,21.8,2.7,0.6007563136591052,0.12318982219183158,1.324702449510042
38,8.55411063835043E18,0.69,0.5,0.09,0.009,45.0,1.1,17.4,10.7,0.10960603966665962,0.12318982219183158,0.3424019015251508
39,8.55411063835043E18,0.63,0.7,0.04,0.093,15.0,1.9,21.8,2.7,0.07802566998305163,0.08544229138521803,0.2414936313513213
40,8.55411063835043E18,0.63,0.7,0.04,0.057,34.0,0.7,17.4,10.7,0.28511370927061186,0.08544229138521803,0.6556697099264417
41,8.55411063835043E18,0.52,0.5,0.04,0.057,34.0,0.7,20.3,3.6,0.06494063376934643,0.11505052644573319,0.24493179398442605
42,8.55411063835043E18,0.64,0.4,0.08,0.097,26.0,1.9,21.4,10.7,0.09810286955972376,0.0913470139618715,0.287552753081319
43,8.55411063835043E18,0.69,0.5,0.09,0.009,45.0,1.1,20.3,3.6,0.476149279750463,0.12318982219183158,1.0754883816927576
44,8.55411063835043E18,0.64,0.5,0.08,0.009,45.0,1.1,17.4,6.4,0.08904762988549757,0.1168857975297048,0.2949810573006999
45,8.55411063835043E18,0.58,0.9,0.04,0.009,26.0,1.6,24.1,13.7,0.12133262779996526,0.12344581901078948,0.36611107461072
46,8.55411063835043E18,0.69,0.5,0.09,0.009,45.0,1.1,17.4,3.6,0.27168381918704637,0.12318982219183158,0.6665574605659244
47,8.55411063835043E18,0.64,0.4,0.09,0.024,19.0,0.3,23.8,4.5,0.07169775062520883,0.10097211797549557,0.24436761922591324
48,8.55411063835043E18,0.64,0.4,0.08,0.097,19.0,0.3,23.8,4.5,0.06517080836394201,0.0913470139618715,0.22168863068975553
49,8.55411063835043E18,0.63,0.7,0.04,0.093,15.0,1.1,17.4,6.4,0.33326655974523656,0.08544229138521803,0.7519754108756911
50,8.55411063835043E18,0.69,0.5,0.08,0.009,45.0,1.1,17.4,6.4,0.14688478037238814,0.1168857975297048,0.4106553582744811
51,8.55411063835043E18,0.64,0.4,0.08,0.097,26.0,1.1,17.4,10.7,0.27629997202670453,0.0913470139618715,0.6439469580152806
