id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
53,4.307923921049272E17,0.4,0.85,0.15,7.0,0.085,0.15,0.04461426939697817,0.22307134698489084
54,4.307923921049272E17,0.4,0.85,0.15,4.4,0.085,0.15,0.044282439930982805,0.22141219965491402
55,4.307923921049272E17,0.4,0.9,0.25,3.7,0.065,0.25,0.056245962409873,0.281229812049365
56,4.307923921049272E17,0.4,0.9,0.25,3.7,0.085,0.3,0.060066362820499014,0.3003318141024951
57,4.307923921049272E17,0.45,0.85,0.15,5.2,0.065,0.25,0.04397528476712749,0.21987642383563744
58,4.307923921049272E17,0.4,0.85,0.15,4.4,0.075,0.15,0.044282439930982805,0.22141219965491402
59,4.307923921049272E17,0.3,0.85,0.15,7.0,0.085,0.15,0.047792203247351395,0.23896101623675697
60,4.307923921049272E17,0.4,0.85,0.15,5.2,0.065,0.25,0.04674085038892707,0.23370425194463534
61,4.307923921049272E17,0.5,0.85,0.15,5.2,0.065,0.25,0.07038422166308504,0.3519211083154252
62,4.307923921049272E17,0.45,0.85,0.15,5.2,0.06,0.3,0.04621914126154049,0.23109570630770243
63,4.307923921049272E17,0.45,0.85,0.25,7.0,0.065,0.25,0.04414604088979838,0.22073020444899188
64,4.307923921049272E17,0.45,0.85,0.25,5.2,0.065,0.25,0.04461780713040927,0.22308903565204635
65,4.307923921049272E17,0.45,0.85,0.25,7.0,0.065,0.15,0.047588722666725654,0.23794361333362826
66,4.307923921049272E17,0.4,0.75,0.15,5.2,0.065,0.25,0.14497343484486191,0.7248671742243096
67,4.307923921049272E17,0.45,0.85,0.15,4.4,0.075,0.15,0.04778376431747916,0.2389188215873958
68,4.307923921049272E17,0.4,0.85,0.15,4.4,0.06,0.3,0.053023884134696796,0.265119420673484
69,4.307923921049272E17,0.4,0.85,0.25,5.2,0.065,0.25,0.05036727384783384,0.2518363692391692
70,4.307923921049272E17,0.4,0.85,0.25,7.0,0.065,0.25,0.05024251276745906,0.2512125638372953
71,4.307923921049272E17,0.45,0.85,0.15,5.2,0.085,0.15,0.04824857795179025,0.24124288975895125
72,4.307923921049272E17,0.45,0.85,0.15,7.0,0.085,0.15,0.048724433516835,0.24362216758417501
73,4.307923921049272E17,0.4,0.85,0.15,7.0,0.075,0.15,0.04461426939697817,0.22307134698489084
74,4.307923921049272E17,0.4,0.85,0.15,5.2,0.06,0.3,0.053023884134696796,0.265119420673484
75,4.307923921049272E17,0.4,0.85,0.15,4.4,0.065,0.25,0.04674085038892707,0.23370425194463534
76,4.307923921049272E17,0.6,0.85,0.15,7.0,0.065,0.25,0.07477287718327921,0.37386438591639604
77,4.307923921049272E17,0.4,0.85,0.15,9.7,0.075,0.15,0.04461426939697817,0.22307134698489084
78,4.307923921049272E17,0.45,0.85,0.15,9.7,0.075,0.15,0.05366836547764506,0.2683418273882253
79,4.307923921049272E17,0.4,0.85,0.15,9.7,0.085,0.15,0.04461426939697817,0.22307134698489084
80,4.307923921049272E17,0.45,0.85,0.25,7.0,0.075,0.15,0.047588722666725654,0.23794361333362826
81,4.307923921049272E17,0.4,0.85,0.15,9.7,0.065,0.25,0.046702456189665224,0.23351228094832613
82,4.307923921049272E17,0.45,0.95,0.25,7.0,0.075,0.15,0.11636588482315863,0.5818294241157931
83,4.307923921049272E17,0.45,0.85,0.25,7.0,0.085,0.15,0.047588722666725654,0.23794361333362826
84,4.307923921049272E17,0.45,0.85,0.15,9.7,0.085,0.15,0.05366836547764506,0.2683418273882253
85,4.307923921049272E17,0.4,0.85,0.15,7.0,0.095,0.15,0.04461426939697817,0.22307134698489084
86,4.307923921049272E17,0.45,0.85,0.15,7.0,0.075,0.15,0.048724433516835,0.24362216758417501
87,4.307923921049272E17,0.45,0.85,0.15,5.2,0.065,0.15,0.04824857795179025,0.24124288975895125
88,4.307923921049272E17,0.4,0.85,0.15,7.0,0.065,0.15,0.04461426939697817,0.22307134698489084
89,4.307923921049272E17,0.45,0.85,0.15,5.2,0.075,0.15,0.04824857795179025,0.24124288975895125
90,4.307923921049272E17,0.45,0.85,0.25,4.4,0.075,0.15,0.04677266230513189,0.23386331152565945
91,4.307923921049272E17,0.4,0.85,0.45,9.7,0.085,0.15,0.048747457289740184,0.2437372864487009
92,4.307923921049272E17,0.45,0.85,0.45,5.2,0.065,0.25,0.04657516943422825,0.23287584717114124
93,4.307923921049272E17,0.4,0.85,0.45,9.7,0.075,0.15,0.048747457289740184,0.2437372864487009
94,4.307923921049272E17,0.4,0.85,0.15,9.3,0.065,0.25,0.046702456189665224,0.23351228094832613
95,4.307923921049272E17,0.2,0.85,0.15,9.7,0.085,0.15,0.07348406280236595,0.3674203140118298
96,4.307923921049272E17,0.45,0.85,0.25,9.7,0.085,0.15,0.05225148101219461,0.26125740506097306
97,4.307923921049272E17,0.4,0.85,0.25,4.4,0.075,0.15,0.04430552116754422,0.2215276058377211
98,4.307923921049272E17,0.45,0.85,0.15,7.0,0.025,0.25,0.04415147425041697,0.22075737125208483
99,4.307923921049272E17,0.4,0.85,0.15,7.0,0.025,0.25,0.04670212161215538,0.2335106080607769
100,4.307923921049272E17,0.45,0.85,0.25,7.0,0.025,0.25,0.04452419048365303,0.22262095241826516
101,4.307923921049272E17,0.4,0.85,0.15,4.4,0.085,0.25,0.04674085038892707,0.23370425194463534
102,4.307923921049272E17,0.45,0.85,0.25,4.4,0.085,0.15,0.04677266230513189,0.23386331152565945
103,4.307923921049272E17,0.45,0.85,0.15,4.0,0.065,0.25,0.04365566983670326,0.21827834918351632
104,4.307923921049272E17,0.35,0.85,0.15,7.0,0.025,0.25,0.055107072978714554,0.2755353648935728
105,4.307923921049272E17,0.4,0.85,0.15,4.0,0.065,0.25,0.04682898576985629,0.23414492884928145
106,4.307923921049272E17,0.45,0.85,0.25,4.0,0.065,0.25,0.04435043206793139,0.22175216033965695
107,4.307923921049272E17,0.45,0.85,0.2,7.0,0.065,0.25,0.04387885070487629,0.21939425352438147
108,4.307923921049272E17,0.4,0.85,0.15,4.4,0.01,0.15,0.04472161423734425,0.22360807118672124
109,4.307923921049272E17,0.45,0.85,0.2,4.4,0.075,0.15,0.04724449237346968,0.23622246186734838
110,4.307923921049272E17,0.45,0.85,0.15,6.4,0.065,0.25,0.04343430587824434,0.2171715293912217
111,4.307923921049272E17,0.45,0.85,0.25,6.4,0.065,0.25,0.043942546284849705,0.21971273142424852
112,4.307923921049272E17,0.45,0.85,0.2,4.4,0.085,0.15,0.04724449237346968,0.23622246186734838
113,4.307923921049272E17,0.45,0.85,0.2,7.0,0.025,0.25,0.04430734333584426,0.2215367166792213
114,4.307923921049272E17,0.45,0.85,0.25,6.4,0.085,0.15,0.04729464654396075,0.23647323271980375
115,4.307923921049272E17,0.45,0.85,0.35,7.0,0.065,0.25,0.04485784320097481,0.22428921600487403
116,4.307923921049272E17,0.45,0.85,0.15,2.5,0.065,0.25,0.043605370948480555,0.21802685474240277
117,4.307923921049272E17,0.65,0.85,0.15,7.0,0.025,0.25,0.07477287718327921,0.37386438591639604
118,4.307923921049272E17,0.65,0.85,0.25,6.4,0.065,0.25,0.07477287718327921,0.37386438591639604
119,4.307923921049272E17,0.65,0.85,0.15,7.0,0.065,0.25,0.07477287718327921,0.37386438591639604
120,4.307923921049272E17,0.45,0.85,0.2,6.4,0.065,0.25,0.0436580895259523,0.2182904476297615
121,4.307923921049272E17,0.45,0.85,0.15,4.3,0.065,0.25,0.04365566983670326,0.21827834918351632
122,4.307923921049272E17,0.45,0.85,0.15,2.5,0.065,0.35,0.052228745587913294,0.2611437279395665
123,4.307923921049272E17,0.45,0.85,0.2,6.4,0.065,0.35,0.05012669880455315,0.25063349402276575
124,4.307923921049272E17,0.45,0.85,0.2,5.2,0.065,0.25,0.044267294639387625,0.2213364731969381
125,4.307923921049272E17,0.45,0.85,0.15,5.2,0.085,0.25,0.04397528476712749,0.21987642383563744
126,4.307923921049272E17,0.35,0.85,0.25,6.4,0.065,0.25,0.06398246391578298,0.3199123195789149
127,4.307923921049272E17,0.45,0.85,0.15,6.0,0.065,0.25,0.04397528476712749,0.21987642383563744
128,4.307923921049272E17,0.45,0.85,0.15,5.2,0.03,0.25,0.04396221601613413,0.21981108008067063
129,4.307923921049272E17,0.25,0.85,0.15,6.4,0.065,0.25,0.07660740589694341,0.3830370294847171
130,4.307923921049272E17,0.45,0.85,0.25,2.5,0.065,0.25,0.044442691571682374,0.22221345785841187
131,4.307923921049272E17,0.45,0.85,0.15,4.0,0.065,0.45,0.06607951856220555,0.33039759281102776
132,4.307923921049272E17,0.45,0.85,0.15,7.0,0.03,0.25,0.043769439919566604,0.21884719959783303
133,4.307923921049272E17,0.45,0.85,0.2,7.0,0.065,0.45,0.06354472182451672,0.3177236091225836
134,4.307923921049272E17,0.45,0.85,0.15,2.5,0.03,0.25,0.04369343951798535,0.21846719758992675
135,4.307923921049272E17,0.45,0.85,0.25,2.4,0.065,0.25,0.04432363818571792,0.2216181909285896
136,4.307923921049272E17,0.65,0.85,0.15,4.3,0.065,0.25,0.07477287718327921,0.37386438591639604
137,4.307923921049272E17,0.45,0.85,0.15,7.0,0.07,0.25,0.043672328586979406,0.21836164293489702
