id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,daily_water_loss_mm,max_water_capacity,max_toxicity_penalty,error_yield,error_pesticide,error_water,fitness
1,3.993681220280917E18,0.57,0.6,0.08,11.0,101.0,0.1,0.011215817939350649,0.2075636039539783,0.08279824749708323,0.402520030844568
3,1.6398957382076682E18,0.57,0.6,0.08,11.0,101.0,0.1,0.011238578413134177,0.2084751255874252,0.08279824749708323,0.4036591572158502
2,4.750742346495651E18,0.57,0.6,0.08,11.0,101.0,0.1,0.011271065651911282,0.20730027548209373,0.08279824749708323,0.40280917949828976
0,6.583393530656029E18,0.57,0.6,0.08,11.0,101.0,0.1,0.011282366433464362,0.20944741532976818,0.08279824749708323,0.405069327161495
7,1.6398957382076682E18,0.76,0.7,0.02,10.0,108.0,0.8,0.02372020881800153,0.2579201101928374,0.09767253152998359,0.5927947299028363
5,3.993681220280917E18,0.76,0.7,0.02,10.0,108.0,0.8,0.02371536265948889,0.25771754982984924,0.09767253152998359,0.5925437079547218
4,6.583393530656029E18,0.76,0.7,0.02,10.0,108.0,0.8,0.023734439018566873,0.257636525684654,0.09767253152998359,0.5926534474003063
6,4.750742346495651E18,0.76,0.7,0.02,10.0,108.0,0.8,0.023729178420758012,0.25800113433803273,0.09767253152998359,0.5929654500755964
9,3.993681220280917E18,0.71,0.8,0.04,8.0,95.0,0.1,0.01750271306426663,0.12955760816723405,0.15246008425737195,0.4570448230672723
8,6.583393530656029E18,0.71,0.8,0.04,8.0,95.0,0.1,0.01748711371213718,0.13040836169178424,0.15246008425737195,0.45773958307052803
11,1.6398957382076682E18,0.71,0.8,0.04,8.0,95.0,0.1,0.01750801320710844,0.13065143412737,0.15246008425737195,0.4581916504558264
10,4.750742346495651E18,0.71,0.8,0.04,8.0,95.0,0.1,0.01747036455593567,0.1291727434775564,0.15246008425737195,0.45633647329428506
15,1.6398957382076682E18,0.4,0.6,0.04,11.0,61.0,0.8,0.02990898860954504,0.02232215200129627,0.10037287262763428,0.42178491072438096
14,4.750742346495651E18,0.4,0.6,0.04,11.0,61.0,0.8,0.02994476559604552,0.023476746070328923,0.10037287262763428,0.4232972746584184
12,6.583393530656029E18,0.4,0.6,0.04,11.0,61.0,0.8,0.0299295521455772,0.022362664073893868,0.10037287262763428,0.42203105815730013
13,3.993681220280917E18,0.4,0.6,0.04,11.0,61.0,0.8,0.02993177158155685,0.024205963377086318,0.10037287262763428,0.42389655182028907
17,3.993681220280917E18,0.99,0.5,0.08,8.0,112.0,0.1,0.052586939696767976,0.15141387133365747,0.1619859723052254,0.8392692406065626
16,6.583393530656029E18,0.99,0.5,0.08,8.0,112.0,0.1,0.052521061284469664,0.15145438340625492,0.1619859723052254,0.8386509685561769
18,4.750742346495651E18,0.99,0.5,0.08,8.0,112.0,0.1,0.05242504599667569,0.14914519526818992,0.1619859723052254,0.8353816275401722
19,1.6398957382076682E18,0.99,0.5,0.08,8.0,112.0,0.1,0.052489196716944214,0.15181899205963376,0.1619859723052254,0.8386969315343012
23,1.6398957382076682E18,0.84,0.9,0.05,13.0,66.0,0.8,0.02509107564261153,0.21757008588559384,0.18077440023410815,0.6492552425458173
21,3.993681220280917E18,0.84,0.9,0.05,13.0,66.0,0.8,0.025075430707603798,0.21708394101442235,0.18077440023410815,0.6486126483245684
20,6.583393530656029E18,0.84,0.9,0.05,13.0,66.0,0.8,0.025052688245444585,0.21752957381299626,0.18077440023410815,0.6488308565015503
22,4.750742346495651E18,0.84,0.9,0.05,13.0,66.0,0.8,0.02505865904563554,0.21748906174039864,0.18077440023410815,0.6488500524308622
25,3.993681220280917E18,0.9,0.8,0.08,13.0,83.0,0.8,0.028177704066869078,0.2921122994652405,0.15181211635422642,0.7257014564881578
27,1.6398957382076682E18,0.9,0.8,0.08,13.0,83.0,0.8,0.0281824152349495,0.2919907632474478,0.15181211635422642,0.7256270319511692
24,6.583393530656029E18,0.9,0.8,0.08,13.0,83.0,0.8,0.028176348314139146,0.29251742019121657,0.15181211635422642,0.7260930196868344
26,4.750742346495651E18,0.9,0.8,0.08,13.0,83.0,0.8,0.028167230050878077,0.2920515313563439,0.15181211635422642,0.7255359482193511
29,3.993681220280917E18,0.8,0.5,0.07,7.0,78.0,0.8,0.02363902168638004,0.12028034354237556,0.1743146678810751,0.530985228287251
28,6.583393530656029E18,0.8,0.5,0.07,7.0,78.0,0.8,0.023651919081006723,0.11707988980716263,0.1743146678810751,0.527913748498305
30,4.750742346495651E18,0.8,0.5,0.07,7.0,78.0,0.8,0.023652285033483492,0.11861934856587246,0.1743146678810751,0.5294568667817825
31,1.6398957382076682E18,0.8,0.5,0.07,7.0,78.0,0.8,0.02367773447893924,0.11748501053313877,0.1743146678810751,0.5285770232036063
34,4.750742346495651E18,0.45,0.4,0.04,9.0,58.0,0.8,0.02215361037402805,0.21404553556959965,0.0693649155878712,0.5049465548977513
33,3.993681220280917E18,0.45,0.4,0.04,9.0,58.0,0.8,0.022180789994067696,0.21434937611408197,0.0693649155878712,0.5055221916426301
32,6.583393530656029E18,0.45,0.4,0.04,9.0,58.0,0.8,0.022172051594118166,0.2177118781396856,0.0693649155878712,0.5087973096687385
35,1.6398957382076682E18,0.45,0.4,0.04,9.0,58.0,0.8,0.022167197878231296,0.2142075838599902,0.0693649155878712,0.5052444782301744
39,1.6398957382076682E18,0.43,0.4,0.08,7.0,58.0,0.1,0.025402817431828546,0.06868821908928863,0.13578522297847231,0.45850161638604636
38,4.750742346495651E18,0.43,0.4,0.08,7.0,58.0,0.1,0.025455309302644658,0.06745260087506062,0.13578522297847231,0.4577909168799795
36,6.583393530656029E18,0.43,0.4,0.08,7.0,58.0,0.1,0.025426486127023046,0.0667031275320046,0.13578522297847231,0.4567532117807074
37,3.993681220280917E18,0.43,0.4,0.08,7.0,58.0,0.1,0.025467543987458534,0.06925538810565564,0.13578522297847231,0.45971605095871326
40,6.583393530656029E18,0.8639999999999999,0.81,0.045000000000000005,13.1,70.9,0.1,0.036112342394212495,0.16362826122184435,0.1748105348229687,0.699562219986938
41,3.993681220280917E18,0.8639999999999999,0.81,0.045000000000000005,13.1,70.9,0.1,0.03608883073635498,0.16368902933074042,0.1748105348229687,0.699387871517259
43,1.6398957382076682E18,0.8639999999999999,0.81,0.045000000000000005,13.1,70.9,0.1,0.03607926677644214,0.1633041646410631,0.1748105348229687,0.6989073672284531
42,4.750742346495651E18,0.8639999999999999,0.81,0.045000000000000005,13.1,70.9,0.1,0.03608036416639857,0.16385107762113113,0.1748105348229687,0.6994652541080856
45,3.993681220280917E18,0.5910237770561527,0.8210651458190278,0.03136091250858333,10.189348541809721,108.77456020733194,0.6674560207331944,0.006703912077932372,0.07146329606222679,0.09411211514569785,0.23261453198724835
47,1.6398957382076682E18,0.5910237770561527,0.8210651458190278,0.03136091250858333,10.189348541809721,108.77456020733194,0.6674560207331944,0.006681822840720631,0.07024793388429741,0.09411211514569785,0.23117827743720154
46,4.750742346495651E18,0.5910237770561527,0.8210651458190278,0.03136091250858333,10.189348541809721,108.77456020733194,0.6674560207331944,0.006656015463712889,0.07103791929995137,0.09411211514569785,0.23171018908277813
44,6.583393530656029E18,0.5910237770561527,0.8210651458190278,0.03136091250858333,10.189348541809721,108.77456020733194,0.6674560207331944,0.006687800344413157,0.07032895802949278,0.09411211514569785,0.23131907661932222
48,6.583393530656029E18,0.3,0.5214211119112997,0.08171577761774004,14.628683321330502,118.05736664266101,0.1,0.04451899442819526,0.1713255550153946,0.20562545237415336,0.8221409516715006
49,3.993681220280917E18,0.3,0.5214211119112997,0.08171577761774004,14.628683321330502,118.05736664266101,0.1,0.04450307955659891,0.1737360233349539,0.20562545237415336,0.8243922712750964
50,4.750742346495651E18,0.3,0.5214211119112997,0.08171577761774004,14.628683321330502,118.05736664266101,0.1,0.04451793977253366,0.16974558418408686,0.20562545237415336,0.8205504342835768
51,1.6398957382076682E18,0.3,0.5214211119112997,0.08171577761774004,14.628683321330502,118.05736664266101,0.1,0.04450907251080832,0.17087992221682038,0.20562545237415336,0.821596099699057
53,3.993681220280917E18,0.5420177837708925,0.6699999999999999,0.08906300794609234,12.4,94.66300794609234,0.6763973609433841,0.01713356858395213,0.2674201912169828,0.11453433730840082,0.5532902143649049
