id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
27,2.438347332235726E18,0.25,0.85,0.5,4.6,0.05,0.15,0.12990909007383797,0.6495454503691899
28,2.438347332235726E18,0.25,0.85,0.4,4.5,0.01,0.4,0.14582152115109548,0.7291076057554774
29,2.438347332235726E18,0.45,0.9,0.2,6.8,0.045,0.4,0.0596542886353907,0.2982714431769535
30,2.438347332235726E18,0.7,0.85,0.3,4.5,0.065,0.25,0.07496341793762278,0.3748170896881139
31,2.438347332235726E18,0.25,0.85,0.2,7.1,0.05,0.25,0.08494013559012531,0.42470067795062655
32,2.438347332235726E18,0.45,0.9,0.2,6.8,0.065,0.25,0.05818299406904976,0.2909149703452488
33,2.438347332235726E18,0.7,0.85,0.2,9.9,0.05,0.25,0.07496341793762278,0.3748170896881139
34,2.438347332235726E18,0.7,0.85,0.2,9.9,0.01,0.4,0.07496341793762278,0.3748170896881139
35,2.438347332235726E18,0.7,0.85,0.3,4.5,0.065,0.4,0.07496341793762278,0.3748170896881139
36,2.438347332235726E18,0.45,0.9,0.2,9.9,0.065,0.25,0.06625138984969453,0.33125694924847265
37,2.438347332235726E18,0.7,0.85,0.2,6.8,0.05,0.25,0.07496341793762278,0.3748170896881139
38,2.438347332235726E18,0.7,0.85,0.2,6.8,0.065,0.25,0.07496341793762278,0.3748170896881139
39,2.438347332235726E18,0.7,0.85,0.2,9.9,0.045,0.4,0.07496341793762278,0.3748170896881139
40,2.438347332235726E18,0.45,0.9,0.3,6.8,0.045,0.4,0.060801723865508965,0.3040086193275448
41,2.438347332235726E18,0.7,0.85,0.2,6.8,0.045,0.4,0.07496341793762278,0.3748170896881139
42,2.438347332235726E18,0.45,0.9,0.3,4.5,0.01,0.4,0.06835460001819577,0.34177300009097883
43,2.438347332235726E18,0.45,0.9,0.2,9.9,0.01,0.4,0.0736094390471224,0.368047195235612
44,2.438347332235726E18,0.45,0.9,0.2,9.9,0.045,0.25,0.06625138984969453,0.33125694924847265
45,2.438347332235726E18,0.45,0.9,0.2,9.9,0.045,0.4,0.06330623439626366,0.3165311719813183
46,2.438347332235726E18,0.45,0.9,0.3,4.5,0.045,0.25,0.05748090904449733,0.28740454522248665
47,2.438347332235726E18,0.45,0.9,0.3,4.5,0.01,0.25,0.06843731467400423,0.3421865733700211
48,2.438347332235726E18,0.45,0.9,0.2,9.9,0.05,0.25,0.06625138984969453,0.33125694924847265
49,2.438347332235726E18,0.45,0.9,0.3,6.8,0.065,0.25,0.057706238446693925,0.2885311922334696
50,2.438347332235726E18,0.45,0.9,0.2,9.9,0.045,0.1,0.07957665123654867,0.39788325618274334
51,2.438347332235726E18,0.45,0.9,0.3,6.8,0.065,0.1,0.0727803859221184,0.363901929610592
52,2.438347332235726E18,0.45,0.9,0.2,4.5,0.045,0.25,0.05780639758033543,0.28903198790167717
53,2.438347332235726E18,0.45,0.9,0.3,4.5,0.045,0.4,0.06201859590560654,0.31009297952803266
54,2.438347332235726E18,0.45,0.9,0.3,6.8,0.045,0.25,0.057706238446693925,0.2885311922334696
55,2.438347332235726E18,0.45,0.9,0.3,6.8,0.05,0.25,0.057706238446693925,0.2885311922334696
56,2.438347332235726E18,0.45,0.9,0.2,6.8,0.05,0.3,0.05635831830794251,0.28179159153971256
57,2.438347332235726E18,0.45,0.9,0.2,3.2,0.045,0.4,0.06088807480508351,0.3044403740254175
58,2.438347332235726E18,0.45,0.9,0.2,3.2,0.045,0.25,0.0568133494926436,0.284066747463218
59,2.438347332235726E18,0.45,0.9,0.3,6.8,0.035,0.25,0.057706238446693925,0.2885311922334696
60,2.438347332235726E18,0.45,0.9,0.3,6.8,0.045,0.35,0.05767866361625528,0.2883933180812764
61,2.438347332235726E18,0.45,0.9,0.2,6.8,0.045,0.35,0.056931297411046466,0.28465648705523233
62,2.438347332235726E18,0.45,0.9,0.3,6.8,0.05,0.3,0.056539080739490426,0.2826954036974521
63,2.438347332235726E18,0.45,0.9,0.3,9.8,0.045,0.35,0.0629002324417019,0.3145011622085095
64,2.438347332235726E18,0.45,0.9,0.3,6.8,0.085,0.25,0.057706238446693925,0.2885311922334696
65,2.438347332235726E18,0.45,0.7,0.3,6.8,0.05,0.3,0.2008572900865547,1.0042864504327735
66,2.438347332235726E18,0.45,0.9,0.2,6.8,0.045,0.25,0.05818299406904976,0.2909149703452488
67,2.438347332235726E18,0.45,0.9,0.3,3.2,0.045,0.25,0.05655960555400067,0.28279802777000335
68,2.438347332235726E18,0.45,0.9,0.3,4.5,0.045,0.2,0.06048855112312653,0.30244275561563266
69,2.438347332235726E18,0.45,0.9,0.25,4.5,0.045,0.25,0.05761761522816714,0.2880880761408357
70,2.438347332235726E18,0.45,0.9,0.25,4.5,0.045,0.35,0.058011005396781064,0.29005502698390534
71,2.438347332235726E18,0.45,0.9,0.3,3.2,0.045,0.35,0.05832092855356178,0.2916046427678089
72,2.438347332235726E18,0.45,0.9,0.3,4.5,0.045,0.35,0.058468695123024876,0.29234347561512436
73,2.438347332235726E18,0.45,0.9,0.25,4.5,0.05,0.3,0.056659213764155385,0.2832960688207769
74,2.438347332235726E18,0.45,0.9,0.2,4.5,0.05,0.3,0.05650643454248231,0.28253217271241154
75,2.438347332235726E18,0.45,0.9,0.2,3.2,0.05,0.3,0.05584505563866988,0.2792252781933494
76,2.438347332235726E18,0.45,0.9,0.3,10.0,0.05,0.3,0.06441663306267022,0.32208316531335107
77,2.438347332235726E18,0.45,0.85,0.2,6.8,0.045,0.35,0.04986130325342946,0.2493065162671473
78,2.438347332235726E18,0.45,0.9,0.2,6.8,0.05,0.15,0.06794339822215971,0.33971699111079856
79,2.438347332235726E18,0.45,0.9,0.2,6.8,0.085,0.3,0.05635831830794251,0.28179159153971256
80,2.438347332235726E18,0.45,0.85,0.2,6.8,0.05,0.3,0.04565081833871566,0.2282540916935783
81,2.438347332235726E18,0.45,0.9,0.2,3.2,0.045,0.35,0.05737525589807856,0.2868762794903928
82,2.438347332235726E18,0.45,0.9,0.2,3.2,0.045,0.3,0.0558668102618297,0.2793340513091485
83,2.438347332235726E18,0.45,0.9,0.25,6.8,0.05,0.3,0.056425063835551695,0.28212531917775846
84,2.438347332235726E18,0.45,0.9,0.25,6.8,0.085,0.3,0.056425063835551695,0.28212531917775846
85,2.438347332235726E18,0.45,0.9,0.2,2.4,0.05,0.3,0.05585664823655207,0.2792832411827604
86,2.438347332235726E18,0.45,0.9,0.2,3.2,0.085,0.3,0.05556483488934614,0.2778241744467307
87,2.438347332235726E18,0.45,0.9,0.2,6.8,0.045,0.3,0.05635831830794251,0.28179159153971256
88,2.438347332235726E18,0.45,0.9,0.2,2.4,0.045,0.35,0.05762083524921824,0.2881041762460912
89,2.438347332235726E18,0.45,0.9,0.2,7.3,0.045,0.35,0.05711750912879756,0.2855875456439878
90,2.438347332235726E18,0.45,0.85,0.2,6.8,0.045,0.3,0.04565081833871566,0.2282540916935783
91,2.438347332235726E18,0.45,0.85,0.2,6.8,0.085,0.3,0.04565081833871566,0.2282540916935783
92,2.438347332235726E18,0.45,0.9,0.2,2.4,0.045,0.3,0.05586614931635101,0.27933074658175505
93,2.438347332235726E18,0.45,0.9,0.2,6.8,0.05,0.2,0.062171343119888894,0.3108567155994445
94,2.438347332235726E18,0.45,0.9,0.2,2.4,0.085,0.3,0.05566202509646975,0.2783101254823488
95,2.438347332235726E18,0.45,0.85,0.2,3.2,0.05,0.3,0.04673745292764511,0.23368726463822556
96,2.438347332235726E18,0.45,0.85,0.2,3.2,0.085,0.3,0.04681753331591951,0.23408766657959754
97,2.438347332235726E18,0.45,0.85,0.2,2.4,0.085,0.3,0.04765984643537597,0.23829923217687984
98,2.438347332235726E18,0.45,0.9,0.2,3.5,0.085,0.3,0.05609088181019537,0.28045440905097685
99,2.438347332235726E18,0.45,0.85,0.1,3.2,0.05,0.3,0.04546429221626276,0.2273214610813138
100,2.438347332235726E18,0.45,0.85,0.2,2.4,0.045,0.3,0.04702225900417463,0.23511129502087313
101,2.438347332235726E18,0.45,0.85,0.2,6.8,0.045,0.15,0.04818339528832173,0.24091697644160864
102,2.438347332235726E18,0.45,0.85,0.2,6.8,0.005,0.35,0.057612642767064855,0.2880632138353243
103,2.438347332235726E18,0.45,0.85,0.1,3.2,0.085,0.3,0.04550112515363703,0.22750562576818514
104,2.438347332235726E18,0.45,0.85,0.45,6.8,0.085,0.3,0.04897970161559844,0.2448985080779922
105,2.438347332235726E18,0.45,0.85,0.1,6.8,0.085,0.3,0.04462470745361537,0.22312353726807682
106,2.438347332235726E18,0.45,0.85,0.2,7.9,0.085,0.3,0.04602989276126386,0.2301494638063193
107,2.438347332235726E18,0.45,0.85,0.25,3.2,0.085,0.3,0.04753603823063165,0.23768019115315825
108,2.438347332235726E18,0.45,0.85,0.1,6.8,0.05,0.3,0.04462470745361537,0.22312353726807682
109,2.438347332235726E18,0.45,0.85,0.1,6.8,0.045,0.3,0.04462470745361537,0.22312353726807682
110,2.438347332235726E18,0.45,0.85,0.2,7.4,0.05,0.3,0.04574590008440046,0.2287295004220023
111,2.438347332235726E18,0.45,0.9,0.2,7.9,0.085,0.3,0.057456728875470243,0.2872836443773512
112,2.438347332235726E18,0.45,0.85,0.1,7.9,0.045,0.3,0.045119713023275235,0.22559856511637616
113,2.438347332235726E18,0.45,0.85,0.2,7.9,0.045,0.3,0.04602989276126386,0.2301494638063193
114,2.438347332235726E18,0.4,0.85,0.1,6.8,0.045,0.3,0.05078128066415627,0.25390640332078135
115,2.438347332235726E18,0.45,0.85,0.1,6.8,0.05,0.15,0.0494685423546669,0.2473427117733345
116,2.438347332235726E18,0.45,0.85,0.1,7.9,0.065,0.3,0.045119713023275235,0.22559856511637616
117,2.438347332235726E18,0.45,0.85,0.1,7.9,0.085,0.3,0.045119713023275235,0.22559856511637616
118,2.438347332235726E18,0.45,0.85,0.1,3.2,0.065,0.3,0.04547692199623496,0.2273846099811748
119,2.438347332235726E18,0.45,0.75,0.1,6.8,0.045,0.3,0.14234228916114866,0.7117114458057433
120,2.438347332235726E18,0.45,0.85,0.1,6.4,0.05,0.3,0.04452814647378937,0.22264073236894688
121,2.438347332235726E18,0.25,0.85,0.1,3.2,0.085,0.3,0.07990279796629572,0.3995139898314786
122,2.438347332235726E18,0.45,0.85,0.1,6.8,0.065,0.3,0.04462470745361537,0.22312353726807682
123,2.438347332235726E18,0.6,0.85,0.1,6.8,0.085,0.3,0.07496341793762278,0.3748170896881139
124,2.438347332235726E18,0.45,0.7,0.1,7.9,0.045,0.3,0.19885898819445044,0.9942949409722522
125,2.438347332235726E18,0.45,0.85,0.15,6.8,0.085,0.3,0.045114267009875225,0.22557133504937613
126,2.438347332235726E18,0.45,0.7,0.1,6.8,0.045,0.3,0.19929171110073296,0.9964585555036648
127,2.438347332235726E18,0.45,0.85,0.15,6.8,0.045,0.3,0.045114267009875225,0.22557133504937613
128,2.438347332235726E18,0.45,0.85,0.5,7.9,0.045,0.3,0.049829364755510384,0.24914682377755193
129,2.438347332235726E18,0.45,0.85,0.1,6.4,0.05,0.35,0.04847603605202148,0.24238018026010738
130,2.438347332235726E18,0.45,0.85,0.1,6.8,0.04,0.3,0.0446295418477018,0.223147709238509
131,2.438347332235726E18,0.45,0.85,0.15,7.9,0.045,0.3,0.045550709322732634,0.22775354661366318
132,2.438347332235726E18,0.45,0.85,0.15,6.8,0.04,0.3,0.04511831734353099,0.22559158671765497
133,2.438347332235726E18,0.45,0.85,0.15,6.8,0.05,0.3,0.045114267009875225,0.22557133504937613
134,2.438347332235726E18,0.45,0.85,0.15,6.4,0.05,0.3,0.04503578490301427,0.22517892451507135
135,2.438347332235726E18,0.45,0.85,0.1,6.4,0.045,0.3,0.044530690071018765,0.22265345035509382
136,2.438347332235726E18,0.45,0.85,0.1,6.8,0.045,0.4,0.05387199457618856,0.2693599728809428
137,2.438347332235726E18,0.45,0.85,0.25,6.8,0.065,0.3,0.04623272538785771,0.23116362693928855
138,2.438347332235726E18,0.45,0.85,0.25,6.4,0.05,0.3,0.0461890148116207,0.2309450740581035
139,2.438347332235726E18,0.45,0.85,0.1,6.8,0.095,0.3,0.04462470745361537,0.22312353726807682
140,2.438347332235726E18,0.45,0.75,0.1,6.8,0.085,0.3,0.14234228916114866,0.7117114458057433
141,2.438347332235726E18,0.45,0.75,0.1,6.8,0.04,0.3,0.14233640275946643,0.7116820137973322
142,2.438347332235726E18,0.45,0.85,0.15,6.4,0.095,0.3,0.04503578490301427,0.22517892451507135
143,2.438347332235726E18,0.45,0.85,0.15,6.4,0.04,0.3,0.045047681208451346,0.22523840604225673
144,2.438347332235726E18,0.45,0.85,0.15,6.4,0.065,0.3,0.04503578490301427,0.22517892451507135
145,2.438347332235726E18,0.45,0.85,0.1,6.4,0.04,0.3,0.04454329066524684,0.22271645332623421
146,2.438347332235726E18,0.45,0.85,0.15,6.4,0.045,0.3,0.04503776809674087,0.22518884048370436
147,2.438347332235726E18,0.45,0.85,0.15,6.4,0.085,0.3,0.04503578490301427,0.22517892451507135
148,2.438347332235726E18,0.45,0.85,0.15,6.8,0.095,0.3,0.045114267009875225,0.22557133504937613
149,2.438347332235726E18,0.45,0.85,0.2,6.4,0.04,0.3,0.04559869940630789,0.22799349703153945
150,2.438347332235726E18,0.45,0.85,0.1,6.8,0.085,0.4,0.05422085813983715,0.27110429069918573
151,2.438347332235726E18,0.45,0.85,0.1,6.4,0.065,0.3,0.04452814647378937,0.22264073236894688
152,2.438347332235726E18,0.45,0.85,0.1,6.4,0.095,0.3,0.04452814647378937,0.22264073236894688
153,2.438347332235726E18,0.65,0.85,0.1,6.4,0.04,0.3,0.07496341793762278,0.3748170896881139
154,2.438347332235726E18,0.45,0.85,0.1,6.4,0.085,0.3,0.04452814647378937,0.22264073236894688
155,2.438347332235726E18,0.45,0.85,0.1,5.3,0.085,0.3,0.0455613354811127,0.22780667740556348
156,2.438347332235726E18,0.45,0.85,0.1,6.4,0.085,0.2,0.044894704047281485,0.22447352023640743
157,2.438347332235726E18,0.45,0.75,0.1,6.4,0.065,0.3,0.14248437679495735,0.7124218839747867
158,2.438347332235726E18,0.45,0.85,0.1,6.8,0.095,0.5,0.06993101202232183,0.34965506011160913
159,2.438347332235726E18,0.7,0.85,0.1,6.4,0.04,0.3,0.07496341793762278,0.3748170896881139
160,2.438347332235726E18,0.7,0.85,0.1,6.8,0.085,0.3,0.07496341793762278,0.3748170896881139
161,2.438347332235726E18,0.6,0.85,0.1,6.4,0.04,0.3,0.07496341793762278,0.3748170896881139
