id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
42,1.276821374153433E18,0.6,0.85,0.5,3.4,0.095,0.25,0.07503768640977959,0.37518843204889796
43,1.276821374153433E18,0.4,0.85,0.3,9.5,0.095,0.15,0.0450714250629074,0.225357125314537
44,1.276821374153433E18,0.4,0.85,0.3,9.5,0.05,0.4,0.07749233024961537,0.38746165124807685
45,1.276821374153433E18,0.5,0.85,0.1,4.3,0.095,0.25,0.07071825002436088,0.3535912501218044
46,1.276821374153433E18,0.4,0.85,0.5,2.3,0.095,0.25,0.06238802560529972,0.3119401280264986
47,1.276821374153433E18,0.4,0.85,0.45,2.3,0.095,0.25,0.05975620084270299,0.29878100421351494
48,1.276821374153433E18,0.4,0.85,0.45,9.7,0.025,0.15,0.04865663480917798,0.2432831740458899
49,1.276821374153433E18,0.5,0.85,0.5,2.3,0.01,0.4,0.07143946395139728,0.3571973197569864
50,1.276821374153433E18,0.5,0.85,0.5,2.3,0.095,0.4,0.05960315899462988,0.2980157949731494
51,1.276821374153433E18,0.4,0.85,0.5,2.3,0.095,0.4,0.08945961089231567,0.4472980544615784
52,1.276821374153433E18,0.5,0.85,0.3,9.5,0.095,0.15,0.074136605406578,0.37068302703289
53,1.276821374153433E18,0.4,0.85,0.45,2.3,0.095,0.4,0.08692413812105117,0.4346206906052558
54,1.276821374153433E18,0.4,0.85,0.3,9.5,0.095,0.25,0.05218136327719414,0.2609068163859707
55,1.276821374153433E18,0.4,0.85,0.45,4.3,0.095,0.25,0.059458045980997784,0.29729022990498893
56,1.276821374153433E18,0.4,0.85,0.1,2.3,0.095,0.25,0.045231545116237996,0.22615772558119
57,1.276821374153433E18,0.5,0.85,0.5,2.3,0.025,0.15,0.068752510549427,0.343762552747135
58,1.276821374153433E18,0.4,1.0,0.45,3.4,0.095,0.25,0.15703462100617704,0.7851731050308852
59,1.276821374153433E18,0.5,0.85,0.5,4.3,0.095,0.25,0.06975108838028056,0.3487554419014028
60,1.276821374153433E18,0.4,0.85,0.45,9.5,0.095,0.25,0.059204303423982294,0.2960215171199115
61,1.276821374153433E18,0.4,0.85,0.1,3.4,0.095,0.25,0.045231545116237996,0.22615772558119
62,1.276821374153433E18,0.4,0.85,0.3,3.4,0.025,0.15,0.04469950254972403,0.22349751274862018
63,1.276821374153433E18,0.4,0.85,0.1,3.4,0.025,0.15,0.04466301290602355,0.22331506453011774
64,1.276821374153433E18,0.4,0.85,0.45,9.5,0.095,0.15,0.04865663480917798,0.2432831740458899
65,1.276821374153433E18,0.4,0.85,0.3,9.7,0.095,0.15,0.0450714250629074,0.225357125314537
66,1.276821374153433E18,0.4,0.85,0.3,3.4,0.095,0.25,0.05255324562237505,0.2627662281118753
67,1.276821374153433E18,0.4,0.85,0.1,9.5,0.095,0.15,0.045272711731650546,0.22636355865825272
68,1.276821374153433E18,0.55,0.85,0.1,2.3,0.095,0.25,0.07503768640977959,0.37518843204889796
69,1.276821374153433E18,0.4,0.85,0.1,4.3,0.095,0.15,0.044908820227697877,0.22454410113848938
70,1.276821374153433E18,0.4,0.85,0.1,4.3,0.025,0.15,0.044908820227697877,0.22454410113848938
71,1.276821374153433E18,0.4,0.85,0.1,3.4,0.095,0.15,0.04455245766454489,0.22276228832272443
72,1.276821374153433E18,0.4,0.85,0.3,3.4,0.095,0.15,0.04463418481349645,0.22317092406748226
73,1.276821374153433E18,0.4,0.85,0.25,9.5,0.025,0.15,0.044564854533256766,0.22282427266628382
74,1.276821374153433E18,0.65,0.85,0.3,3.4,0.095,0.15,0.07503768640977959,0.37518843204889796
75,1.276821374153433E18,0.4,0.85,0.3,4.3,0.095,0.15,0.04484746589025002,0.2242373294512501
76,1.276821374153433E18,0.4,0.85,0.3,4.3,0.025,0.15,0.04484746589025002,0.2242373294512501
77,1.276821374153433E18,0.4,0.85,0.1,3.3,0.095,0.15,0.04455245766454489,0.22276228832272443
78,1.276821374153433E18,0.4,0.85,0.3,3.3,0.095,0.15,0.04463418481349645,0.22317092406748226
79,1.276821374153433E18,0.4,0.85,0.1,9.5,0.025,0.15,0.045272711731650546,0.22636355865825272
