id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,max_water_capacity,lateral_leakage_coefficient,water_excess_coefficient,error_yield,error_pesticide,error_fertilizer,error_water,fitness
0,5.634146725104134E18,0.69,0.6,0.04,0.014,17.8,0.1,22.3,2.5,94.0,0.077,0.32,0.16206649395575384,0.04934237950392062,0.1972895903024307,0.4955646081370351,1.5525290477221556
1,5.634146725104134E18,0.77,1.0,0.06,0.002,15.0,0.32,22.6,3.7,111.0,0.006,0.33,0.13999850632749855,0.19375723520719018,0.1972895903024307,0.14702243121805036,1.2380617883651641
2,5.634146725104134E18,0.66,0.9,0.09,0.003,11.7,0.09,22.4,5.3,119.0,0.044,0.14,0.2354693620942899,0.2055867049276107,0.1972895903024307,0.20405174216432181,1.7842748478658128
3,5.634146725104134E18,0.58,0.5,0.03,0.012,19.4,0.18,22.3,6.7,103.0,0.008,0.32,0.1870214918907081,0.20831748667406094,0.1972895903024307,0.12036556750050839,1.4610801039305406
4,5.634146725104134E18,0.74,0.6,0.01,0.0,12.0,0.05,21.5,7.5,94.0,0.056,0.41,0.05939509336881969,0.5632239761894532,0.1972895903024307,0.325852586912558,1.3833416202485402
5,5.634146725104134E18,0.76,0.5,0.04,0.018,11.9,0.03,23.3,3.6,119.0,0.036,0.11,0.25296023716570754,0.08676464702251802,0.1972895903024307,0.14421356134756425,1.6930689845010507
6,5.634146725104134E18,0.54,0.6,0.05,0.004,10.8,0.28,19.7,4.0,81.0,0.007,0.4,0.28494095535127306,0.08500338093071816,0.1972895903024307,0.05573465574684659,1.7627324037363608
7,5.634146725104134E18,0.61,1.0,0.08,0.009,10.5,0.18,18.0,5.9,90.0,0.019,0.21,0.43269710500682096,0.21081808016539938,0.1972895903024307,0.06730187445378347,2.6388950699557183
8,5.634146725104134E18,0.53,0.5,0.03,0.006,16.8,0.13,22.9,4.2,120.0,0.055,0.5,0.1505999847028978,0.20831748667406094,0.1972895903024307,0.2993559150219166,1.4579629155128973
9,5.634146725104134E18,0.52,0.5,0.05,0.003,16.9,0.15,19.0,9.8,99.0,0.042,0.33,0.4674761262694764,0.039644280203774925,0.1972895903024307,0.20097760615156035,2.775292108005148
10,5.634146725104134E18,0.6,0.6,0.09,0.006,10.7,0.28,22.5,6.8,85.0,0.047,0.52,0.26712215907252146,0.15626819635708805,0.1972895903024307,0.2775788478832781,1.9667474299054042
11,5.634146725104134E18,0.69,0.9,0.08,0.011,17.0,0.03,18.3,6.6,84.0,0.071,0.1,0.35188577890017364,0.20282878288395256,0.1972895903024307,0.4389596518035835,2.598506919490835
12,5.634146725104134E18,0.84,0.9,0.03,0.02,14.4,0.35,23.6,6.0,107.0,0.09,0.25,0.25098241588542963,0.08545899844504684,0.1972895903024307,0.5945344738926696,2.1321951420672955
13,5.634146725104134E18,0.61,0.9,0.08,0.007,10.8,0.03,21.2,2.2,77.0,0.056,0.12,0.1992166257829492,0.20282878288395256,0.1972895903024307,0.3244526904103705,1.7206541925114998
14,5.634146725104134E18,0.54,0.8,0.08,0.002,17.6,0.12,24.7,3.2,108.0,0.057,0.22,0.18768064513902577,0.19034351751307393,0.1972895903024307,0.31510282255361466,1.641139156064248
15,5.634146725104134E18,0.76,0.8,0.09,0.003,18.3,0.19,19.2,2.0,106.0,0.096,0.23,0.10587646860748921,0.19455107299056215,0.1972895903024307,0.6456808052542757,1.5669038115847147
16,5.634146725104134E18,0.68,0.4,0.08,0.011,10.3,0.32,20.6,3.4,83.0,0.049,0.14,0.07114893629089108,0.06496049468382525,0.1972895903024307,0.26226218566509385,0.8802569521058052
17,5.634146725104134E18,0.68,0.6,0.03,0.004,14.1,0.12,21.5,4.8,80.0,0.04,0.37,0.04751430602623589,0.12580524555955372,0.1972895903024307,0.22258332969986086,0.7832496956930247
18,5.634146725104134E18,0.76,0.4,0.02,0.018,12.7,0.18,24.1,6.0,73.0,0.005,0.37,0.213087518162582,0.4700490005737363,0.1972895903024307,0.04358124548587876,1.776357427174956
19,5.634146725104134E18,0.53,0.9,0.08,0.011,10.5,0.25,22.1,6.5,80.0,0.065,0.11,0.3943230646476906,0.20282878288395256,0.1972895903024307,0.3936728136111039,2.76540651003594
20,5.634146725104134E18,0.54,0.8,0.08,0.002,17.6,0.12,24.7,3.2,80.0,0.04,0.37,0.17948345764999596,0.19034351751307393,0.1972895903024307,0.22258332969986086,1.5076337257653454
21,5.634146725104134E18,0.68,0.4,0.08,0.011,10.3,0.32,20.6,3.4,83.0,0.006,0.33,0.06744013239155228,0.06496049468382525,0.1972895903024307,0.0792095826297423,0.6786603295737597
22,5.634146725104134E18,0.77,1.0,0.06,0.002,15.0,0.32,22.6,3.7,111.0,0.049,0.14,0.13887946679075028,0.19375723520719018,0.1972895903024307,0.24500367186158323,1.3304478313249555
23,5.634146725104134E18,0.68,0.4,0.08,0.011,10.3,0.32,21.5,4.8,80.0,0.04,0.37,0.07718953986819846,0.06496049468382525,0.1972895903024307,0.22258332969986086,0.870781114027109
24,5.634146725104134E18,0.69,0.6,0.04,0.014,17.8,0.1,20.6,3.4,83.0,0.049,0.14,0.05447454804976935,0.04934237950392062,0.1972895903024307,0.26226218566509385,0.781266895720292
25,5.634146725104134E18,0.68,0.8,0.09,0.003,18.3,0.19,19.2,2.0,106.0,0.096,0.23,0.16159740438254816,0.19455107299056215,0.1972895903024307,0.6456808052542757,1.8455084904600094
26,5.634146725104134E18,0.76,0.6,0.03,0.004,14.1,0.12,21.5,4.8,80.0,0.04,0.37,0.1213376725810398,0.12580524555955372,0.1972895903024307,0.22258332969986086,1.1523665284670443
27,5.634146725104134E18,0.68,0.4,0.08,0.011,10.3,0.13,22.9,4.2,120.0,0.055,0.5,0.07256816564824085,0.06496049468382525,0.1972895903024307,0.2993559150219166,0.9244468282493769
28,5.634146725104134E18,0.76,0.8,0.09,0.003,18.3,0.05,21.5,7.5,94.0,0.056,0.41,0.19529880722982845,0.19455107299056215,0.1972895903024307,0.325852586912558,1.6941872863546932
29,5.634146725104134E18,0.68,0.4,0.08,0.011,10.3,0.32,22.3,2.5,94.0,0.077,0.32,0.11797980017275762,0.06496049468382525,0.1972895903024307,0.4955646081370351,1.347713693987079
30,5.634146725104134E18,0.53,0.5,0.03,0.006,16.8,0.32,20.6,3.4,83.0,0.049,0.14,0.19572393880200303,0.20831748667406094,0.1972895903024307,0.26226218566509385,1.6464889566516008
31,5.634146725104134E18,0.68,0.6,0.03,0.004,14.1,0.12,20.6,3.4,83.0,0.049,0.14,0.05299233856513899,0.12580524555955372,0.1972895903024307,0.26226218566509385,0.8503187143527732
32,5.634146725104134E18,0.74,0.6,0.01,0.0,12.0,0.19,19.2,2.0,106.0,0.096,0.23,0.14163289709371113,0.5632239761894532,0.1972895903024307,0.6456808052542757,2.1143588572147154
33,5.634146725104134E18,0.68,0.6,0.03,0.004,14.1,0.12,21.5,4.8,108.0,0.057,0.22,0.05660240716566186,0.12580524555955372,0.1972895903024307,0.31510282255361466,0.9212096942439084
34,5.634146725104134E18,0.54,0.8,0.08,0.002,10.5,0.12,24.7,3.2,80.0,0.04,0.37,0.18665439880503246,0.19034351751307393,0.1972895903024307,0.22258332969986086,1.543488431540528
35,5.634146725104134E18,0.74,0.6,0.01,0.0,12.0,0.25,19.2,2.0,106.0,0.096,0.23,0.14288740139029818,0.5632239761894532,0.1972895903024307,0.6456808052542757,2.1206313786976505
36,5.634146725104134E18,0.68,0.4,0.08,0.011,10.5,0.32,21.5,4.8,80.0,0.04,0.37,0.07695308838436546,0.06496049468382525,0.1972895903024307,0.22258332969986086,0.8695988566079441
37,5.634146725104134E18,0.69,0.6,0.04,0.014,14.1,0.12,20.6,3.4,83.0,0.049,0.14,0.05435672382632982,0.04934237950392062,0.1972895903024307,0.26226218566509385,0.7806777746030943
38,5.634146725104134E18,0.68,0.6,0.03,0.004,14.1,0.12,20.6,4.2,120.0,0.055,0.5,0.05481787419367184,0.12580524555955372,0.1972895903024307,0.2993559150219166,0.8965401218522603
39,5.634146725104134E18,0.68,0.6,0.03,0.004,17.8,0.1,20.6,3.4,83.0,0.049,0.14,0.05347890774970116,0.12580524555955372,0.1972895903024307,0.26226218566509385,0.8527515602755841
40,5.634146725104134E18,0.68,0.4,0.08,0.011,10.3,0.13,20.6,3.4,83.0,0.049,0.14,0.0728631423511388,0.06496049468382525,0.1972895903024307,0.26226218566509385,0.8888279824070439
41,5.634146725104134E18,0.69,0.6,0.04,0.014,17.8,0.1,22.9,4.2,120.0,0.055,0.5,0.10082216599971303,0.04934237950392062,0.1972895903024307,0.2993559150219166,1.050098714826833
42,5.634146725104134E18,0.68,0.4,0.08,0.011,10.3,0.13,22.9,3.4,83.0,0.049,0.14,0.09862408687512988,0.06496049468382525,0.1972895903024307,0.26226218566509385,1.0176327050269993
43,5.634146725104134E18,0.68,0.6,0.03,0.011,14.1,0.12,21.5,4.8,108.0,0.057,0.22,0.05660240716566186,0.12580524555955372,0.1972895903024307,0.31510282255361466,0.9212096942439084
44,5.634146725104134E18,0.69,0.6,0.03,0.004,17.8,0.1,20.6,3.4,83.0,0.049,0.14,0.0600691756482232,0.12580524555955372,0.1972895903024307,0.26226218566509385,0.8857028997681943
45,5.634146725104134E18,0.68,0.4,0.04,0.014,17.8,0.1,20.6,3.4,83.0,0.049,0.14,0.055294846089176654,0.18579394931936227,0.1972895903024307,0.26226218566509385,0.9218199557327701
