id_sim,year,month,day,seed,Gini Index,Top20/Bottom20 Ratio,Bankruptcy Risk,CV Profit
19,2016,11,10,7.77189027200037E18,0.019467820982155243,1.1013638280645834,0.0,0.027668639691109567
0,2016,11,10,2.0859989404320717E18,0.020922555970832236,1.1062090873587618,0.0,0.030603150166683246
1,2016,11,10,5.261467072217032E18,0.021001080111431175,1.1094695026208985,0.0,0.02987549699569981
3,2016,11,10,1.8404693846837156E18,0.02037658082860465,1.1060440404993124,0.0,0.029008511626223657
6,2016,11,10,4.869966230546996E18,0.020015412956915123,1.102725930415452,0.0,0.02910110410822992
7,2016,11,10,3.1566853323843717E18,0.01974358083905028,1.102245294082227,0.0,0.028126553162992913
8,2016,11,10,5.318585712908962E18,0.021154012605315124,1.1089057485941032,0.0,0.03058534124428391
9,2016,11,10,2.1628224954845204E18,0.020410777115629917,1.1042764317895881,0.0,0.029579525218046243
10,2016,11,10,8.802962091623525E18,0.02011465428914315,1.1043400055268358,0.0,0.028748926645373454
11,2016,11,10,5.275897857733697E18,0.01962991574980959,1.1018328740211012,0.0,0.02816982999211578
12,2016,11,10,2.5652351634532147E18,0.020062590136337776,1.1041697787613147,0.0,0.02855538791800157
13,2016,11,10,5.655059794573902E18,0.020668399363079633,1.107400136683195,0.0,0.029513357376863215
14,2016,11,10,7.533157338660894E18,0.0193733372712081,1.1003893890468652,0.0,0.02780650277265588
15,2016,11,10,8.379500979669659E18,0.020151614205425484,1.1059477193077871,0.0,0.02823574415117157
16,2016,11,10,4.773498869831157E18,0.02019748497638889,1.1056092478155284,0.0,0.028753190384510303
17,2016,11,10,7.267451346540604E18,0.020556014831815652,1.1083586593292185,0.0,0.029004790826320605
19,2017,11,10,7.77189027200037E18,0.024171608944920858,1.1273344179052758,0.0,0.03417393395649798
0,2017,11,10,2.0859989404320717E18,0.023344411445709937,1.122964125099583,0.0,0.03300784021959924
1,2017,11,10,5.261467072217032E18,0.023294089102934328,1.1206484892538529,0.0,0.033514989740323256
3,2017,11,10,1.8404693846837156E18,0.023532585371679567,1.123922593799109,0.0,0.03328915083850576
6,2017,11,10,4.869966230546996E18,0.021963008478533594,1.116124716636218,0.0,0.030630150822745957
7,2017,11,10,3.1566853323843717E18,0.02363727631846099,1.1251840619360505,0.0,0.03302023564436104
8,2017,11,10,5.318585712908962E18,0.023027798720909355,1.1213977268060353,0.0,0.032645689805040845
9,2017,11,10,2.1628224954845204E18,0.023593436553613498,1.123455663625385,0.0,0.033435253574348726
10,2017,11,10,8.802962091623525E18,0.023495469624430325,1.1227585837836582,0.0,0.03344556008415569
11,2017,11,10,5.275897857733697E18,0.023199035200252575,1.12232218555934,0.0,0.03258891910473734
12,2017,11,10,2.5652351634532147E18,0.022555232976732977,1.1180725561871299,0.0,0.031829646757141485
13,2017,11,10,5.655059794573902E18,0.023706073416908974,1.1244537227126137,0.0,0.03375654710314647
14,2017,11,10,7.533157338660894E18,0.025104663625115962,1.1321328397284829,0.0,0.03568529296024152
15,2017,11,10,8.379500979669659E18,0.023199991779814695,1.119793275258418,0.0,0.03339895456877656
16,2017,11,10,4.773498869831157E18,0.023737438906609978,1.126149832421429,0.0,0.03340078077117704
17,2017,11,10,7.267451346540604E18,0.022904878136718855,1.1190394708725913,0.0,0.03273332839160065
19,2018,11,12,7.77189027200037E18,0.023984556152666054,1.1273229818042392,0.0,0.03367108191319985
0,2018,11,12,2.0859989404320717E18,0.024323494784636416,1.1283605729038182,0.0,0.03447189633687889
1,2018,11,12,5.261467072217032E18,0.02455999946732087,1.128264034021603,0.0,0.03524909291088998
3,2018,11,12,1.8404693846837156E18,0.02395236943917432,1.1265446030870592,0.0,0.0339958754411661
6,2018,11,12,4.869966230546996E18,0.024977012118582033,1.1316240470231091,0.0,0.035522408477138515
7,2018,11,12,3.1566853323843717E18,0.02350254859543006,1.123559857066086,0.0,0.033098013739259115
8,2018,11,12,5.318585712908962E18,0.024461413825036835,1.1287484303598831,0.0,0.03456349896007944
9,2018,11,12,2.1628224954845204E18,0.02484536631502844,1.1325639523930444,0.0,0.03481234542895054
10,2018,11,12,8.802962091623525E18,0.02294355250082428,1.1193299101637941,0.0,0.03250219935076491
11,2018,11,12,5.275897857733697E18,0.02390826160493676,1.123688894728367,0.0,0.03465214223062417
12,2018,11,12,2.5652351634532147E18,0.023916474900381533,1.126430401655901,0.0,0.03390703449208318
13,2018,11,12,5.655059794573902E18,0.024655782892809723,1.1300969382923984,0.0,0.03493373325353294
14,2018,11,12,7.533157338660894E18,0.0238088307079757,1.1260290230110879,0.0,0.033363037716315026
15,2018,11,12,8.379500979669659E18,0.023424083697990313,1.1227868885823638,0.0,0.03311991154807253
16,2018,11,12,4.773498869831157E18,0.023562574692182533,1.1229417499001317,0.0,0.034054165224059706
17,2018,11,12,7.267451346540604E18,0.024410724775572327,1.1275393282821955,0.0,0.034974527956195565
19,2019,11,13,7.77189027200037E18,0.0266661299259575,1.1390688454324929,0.0,0.03837615810599664
0,2019,11,13,2.0859989404320717E18,0.028461577912554617,1.1505033566146992,0.0,0.041033589745835854
1,2019,11,13,5.261467072217032E18,0.028604162946977253,1.1530944861521635,0.0,0.04056507139458816
3,2019,11,13,1.8404693846837156E18,0.02924307934888264,1.158721948043475,0.0,0.04113003375312311
6,2019,11,13,4.869966230546996E18,0.029213458595752927,1.1553432382621922,0.0,0.04158459667498794
7,2019,11,13,3.1566853323843717E18,0.02823042962273788,1.1502905184121992,0.0,0.039977285981327285
8,2019,11,13,5.318585712908962E18,0.029069413313246886,1.1555294776671063,0.0,0.04138122723027672
9,2019,11,13,2.1628224954845204E18,0.02835427543162211,1.150831601739027,0.0,0.03985254687243312
10,2019,11,13,8.802962091623525E18,0.0284958411824706,1.1508444869193564,0.0,0.040830160415741716
11,2019,11,13,5.275897857733697E18,0.026479304146993357,1.1398237292192879,0.0,0.038324563282521935
12,2019,11,13,2.5652351634532147E18,0.02750382664231906,1.1452334432240536,0.0,0.03916616568885124
13,2019,11,13,5.655059794573902E18,0.028052866021352745,1.1502050220542561,0.0,0.03970731520797459
14,2019,11,13,7.533157338660894E18,0.029426286843840382,1.1549474383550324,0.0,0.04236620070029287
15,2019,11,13,8.379500979669659E18,0.029944273175014115,1.1578469380340806,0.0,0.04298425468664645
16,2019,11,13,4.773498869831157E18,0.027642468225789456,1.1468736839277853,0.0,0.03927971632933888
17,2019,11,13,7.267451346540604E18,0.028183543307883238,1.1488148474017668,0.0,0.04037752391712407
19,2020,11,10,7.77189027200037E18,0.029348673040315038,1.15798709652724,0.0,0.041267267242567414
0,2020,11,10,2.0859989404320717E18,0.028735341821663585,1.1521155294233916,0.0,0.04121969845701307
1,2020,11,10,5.261467072217032E18,0.029761547569712964,1.1592289387566685,0.0,0.04222830169433647
3,2020,11,10,1.8404693846837156E18,0.029557558995864496,1.1574108486288945,0.0,0.04203737098033333
6,2020,11,10,4.869966230546996E18,0.02887600978932262,1.1539775248162574,0.0,0.04123128131199733
7,2020,11,10,3.1566853323843717E18,0.02802577790897204,1.148187784180811,0.0,0.04015779615170293
8,2020,11,10,5.318585712908962E18,0.028460847215007544,1.150067616347857,0.0,0.040777528484611705
9,2020,11,10,2.1628224954845204E18,0.02809656163473185,1.1488036391973768,0.0,0.04021459386138726
10,2020,11,10,8.802962091623525E18,0.030006415733635956,1.1598216968171715,0.0,0.04286701800471344
11,2020,11,10,5.275897857733697E18,0.02916842620393061,1.1543307508941307,0.0,0.04166459972035472
12,2020,11,10,2.5652351634532147E18,0.02963033382089528,1.1579813077108656,0.0,0.04230166609009634
13,2020,11,10,5.655059794573902E18,0.02830942945867728,1.1512416525115146,0.0,0.04027019431961946
14,2020,11,10,7.533157338660894E18,0.028615595225862094,1.150712482134489,0.0,0.041264217851510056
15,2020,11,10,8.379500979669659E18,0.02981935088252084,1.1585319005257606,0.0,0.043241843354109626
16,2020,11,10,4.773498869831157E18,0.02808767443069291,1.1469761194442754,0.0,0.0407853130150207
17,2020,11,10,7.267451346540604E18,0.028844134500970564,1.1512850705334103,0.0,0.041818684713488694
19,2021,11,13,7.77189027200037E18,0.027047680898530956,1.141778157041947,0.0,0.03872235250295461
0,2021,11,13,2.0859989404320717E18,0.02732904394004677,1.1432935067386543,0.0,0.0393493360494699
